plot_id,Hoehe,Wasserha,Baumdeck,pH,Basensae,Auflage,Bestalte,CN,Bonität,Waldges,Koniante
346,740.00,4.627062947,91.00,6.381178856,100,10.75,110,18.87588094,4.05,6 ApoFag,0.474637681
350,870.00,2.560871153,71.50,5.519999981,100,2.75,120,23.37467177,1.5,7 SesFag,0.165605096
354,960.00,3.392364277,73.00,4.260000229,98.63621736,5.25,140,19.00154799,4.3,6 ApoFag,0.121212121
355,850.00,4.690809926,85.30,6.125511169,100,13.25,130,20.1517532,2.7,6 ApoFag,0
356,900.00,4.002708387,70.00,6.03000021,100,2.25,200,23.21470738,5.4,6 ApoFag,1
359,1290.00,5.532736353,80.00,5.989999771,98.72011499,1.50,100,17.80412245,2.5,3 GalFag,1
370,1120.00,5.365005157,90.00,4.860000134,100,5.75,140,19.763914,3.3,6 ApoFag,0
372,1120.00,6.411107344,90.50,4.730000019,99.35091103,35.00,240,24.73008024,5.2,6 ApoFag,0
373,730.00,5.507049377,90.20,6.037227154,96.95346516,1.55,100,20.01771436,2.3,6 ApoFag,0.935828877
377,1530.00,3.148655119,50.00,6.049435616,98.83445524,2.75,200,22.22793363,5.7,9 AdePic,1
378,910.00,8.655868848,90.00,4.340000153,93.73509299,1.00,90,18.39378238,1.4,6 ApoFag,0.625
389,1500.00,4.060819642,41.50,5.389999866,99.03918024,3.00,150,20.53713344,5.9,9 AdePic,1
393,890.00,8.100563714,72.00,6.157234669,85.92114209,3.35,70,21.78465379,1.65,6 ApoFag,0.568181818
395,1020.00,5.403620203,60.00,3.890000025,97.94539763,19.25,200,21.606089,4.25,8 AdeAbi,0.637795276
397,1120.00,5.968186789,62.50,4.16,100,13.75,130,25.26315789,3.528179825,8 AdeAbi,0.311377246
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
