plot_id,Waldges,WG_Nr,Stadium,Boxplot,Hoehe,Hydro,B123,Vegtyp1,Vegtyp2,Stoerung,Konifer_prozent,Laubb_prozent,Exposit,Neig,Wachstum,Reife,Verjuengung,Plenter,Mortal
903FlPS,Luzulo-Fagetum,2,4,10,776,0,88,9,7,0,40,80,"0,38268343",6,0,0,0,1,0
904FlPS,Luzulo-Fagetum,2,4,10,866,0,94,9,7,0,0,88,"0,92387953",8,0,0,0,1,0
905FlPS,Luzulo-Fagetum,2,4,11,990,0,"77,2",9,7,0,55,"32,8","0,38268343",18,0,0,0,1,0
906FlRS,Luzulo-Fagetum,2,2,11,866,0,66,9,7,0,0,"60,8","0,92387953",10,0,1,0,0,0
907FlRS,Luzulo-Fagetum,2,2,10,940,0,"84,8",9,7,0,40,"38,26","0,38268343",16,0,1,0,0,0
908FlRS,Luzulo-Fagetum,2,2,10,984,0,70,9,7,0,30,52,"0,92387953",18,0,1,0,0,0
909FlRS,Luzulo-Fagetum,2,2,11,792,0,62,9,7,1,"7,84",50,"0,38268343",5,0,1,0,0,0
910FlRS,Luzulo-Fagetum,2,2,10,865,0,100,9,7,0,40,60,"-0,92387953",6,0,1,0,0,0
911FlVS,Luzulo-Fagetum,2,3,8,835,0,"69,6",8,6,0,50,"17,056","-0,92387953",13,0,0,1,0,0
912FlVS,Luzulo-Fagetum,2,3,9,968,0,"33,5",9,7,0,0,"23,2","-0,38268343",6,0,0,1,0,0
913FlVS,Luzulo-Fagetum,2,3,10,1091,0,55,8,6,0,20,37,"0,38268343",15,0,0,1,0,0
914FlVS,Luzulo-Fagetum,2,3,10,800,0,"87,2",9,7,0,19,"83,8","0,92387953",6,0,0,1,0,0
915FlVS,Luzulo-Fagetum,2,3,10,882,0,81,9,7,0,10,"71,2","0,38268343",19,0,0,1,0,0
916FlWS,Luzulo-Fagetum,2,1,10,986,0,85,9,7,0,"42,4","612,928","0,92387953",10,1,0,0,0,0
917FlWS,Luzulo-Fagetum,2,1,11,997,0,"87,4",9,7,0,"34,144","66,4","0,92387953",14,1,0,0,0,0
918FlWS,Luzulo-Fagetum,2,1,10,765,0,"74,4",9,7,0,"287,182","42,4","0,38268343",8,1,0,0,0,0
919FlWS,Luzulo-Fagetum,2,1,11,1123,0,100,9,7,0,30,73,"0,38268343",25,1,0,0,0,0
920FlMS,Luzulo-Fagetum,2,5,11,999,0,43,9,7,1,0,40,"0,92387953",14,0,0,0,0,1
921FlMS,Luzulo-Fagetum,2,5,10,890,0,84,8,6,0,0,73,"0,92387953",8,0,0,0,0,1
922FlMS,Luzulo-Fagetum,2,5,10,943,0,19,8,6,1,2,"13,6","-0,92387953",7,0,0,0,0,1
940AVS,Abietetum,4,3,3,860,3,40,4,4,1,30,0,"0,92387953",2,0,0,1,0,0
944AJS,Abietetum,4,0,1,816,2,0,2,1,1,0,0,"-0,92387953",4,0,0,0,0,0
945AJS,Abietetum,4,0,1,769,2,"9,75",1,1,0,"2,49","0,5","-0,38268343",3,0,0,0,0,0
946AJS,Abietetum,4,0,8,1140,2,0,8,6,1,0,0,"0,92387953",11,0,0,0,0,0
947AJS,Abietetum,4,0,8,976,2,1,8,6,1,0,0,"-0,92387953",5,0,0,0,0,0
948AJS,Abietetum,4,0,2,748,2,"60,8",3,3,1,"35,488","24,736","-0,92387953",1,0,0,0,0,0
949APS,Abietetum,4,4,1,760,2,"60,1",1,1,0,"59,68",0,"0,38268343",2,0,0,0,1,0
950APS,Abietetum,4,4,2,626,2,"66,4",3,3,0,"61,12",4,"0,92387953",11,0,0,0,1,0
951APS,Abietetum,4,4,8,803,2,"64,36",8,6,0,"50,25",10,"0,38268343",4,0,0,0,1,0
952APS,Abietetum,4,4,1,770,2,"52,96",2,2,0,"56,8","3,96","0,38268343",7,0,0,0,1,0
953APS,Abietetum,4,4,2,687,2,"81,1",3,3,0,"45,132,544","23,2","0,92387953",7,0,0,0,1,0
954ARS,Abietetum,4,2,1,724,0,"77,6",1,1,0,"59,176",30,"-0,38268343",4,0,1,0,0,0
955ARS,Abietetum,4,2,12,650,2,43,10,8,0,30,0,"-0,92387953",4,0,1,0,0,0
956ARS,Abietetum,4,2,2,617,2,"56,8",3,3,0,"54,64",0,"-0,38268343",0,0,1,0,0,0
957ARS,Abietetum,4,2,3,805,2,"82,5",4,4,0,"71,2",30,"0,92387953",10,0,1,0,0,0
958ARS,Abietetum,4,2,1,1058,2,"57,25",1,1,0,"55,225",0,"0,38268343",9,0,1,0,0,0
959AWS,Abietetum,4,1,1,632,0,70,1,1,0,60,0,"-0,38268343",1,1,0,0,0,0
960AWS,Abietetum,4,1,2,819,2,50,3,3,1,37,4,"-0,92387953",6,1,0,0,0,0
961AWS,Abietetum,4,1,2,1036,2,24,3,3,0,"13,6",0,"-0,38268343",4,1,0,0,0,0
962AWS,Abietetum,4,1,12,873,2,"36,825",10,8,1,"31,4","5,92","-0,38268343",13,1,0,0,0,0
963AVS,Abietetum,4,3,3,821,2,51,4,4,1,20,30,"0,38268343",11,0,0,1,0,0
964AVS,Abietetum,4,3,2,756,2,"40,6",3,3,0,40,0,"0,38268343",2,0,0,1,0,0
965AVS,Abietetum,4,3,4,1111,2,55,5,3,0,40,10,"-0,38268343",13,0,0,1,0,0
966AVS,Abietetum,4,3,2,805,2,58,3,3,0,37,20,"-0,92387953",1,0,0,1,0,0
