Species	SLA	SD	LF_Th	LF_G	LF_H	LF_hCh	LF_wCh	LF_NP	LF_P	belt1	belt2	belt3	belt4	belt5
Marrvulg	10.6	1	0	0	0	0	1	0	0	1	1	0	0	0
Medimini	18.4	3.2	1	0	0	0	0	0	0	0	1	1	0	0
Moriarve	13.1	2	0	0	0	0	1	0	0	0	1	0	0	0
Onobsupi	10.3	0.5	0	0	1	0	0	0	0	0	1	0	1	0
Ononpusi	15.1	4.2	0	0	0	0	1	0	0	0	0	1	1	1
Osyralba	21.8	2.5	0	0	0	0	0	1	0	0	1	1	0	0
Philangu	10.6	2.4	0	0	0	0	0	1	0	1	1	0	0	0
Pinuhale	5.3	1	0	0	0	0	0	0	1	1	1	0	0	0
Pinumugo	4	0.6	0	0	0	0	0	0	1	0	0	0	0	1
Pinusylv	4.5	1.1	0	0	0	0	0	0	1	0	0	0	1	0
Pistlent	6.1	0.3	0	0	0	0	0	0	1	1	1	0	0	0
Planalbi	12.9	1.8	0	0	0	0	1	0	0	0	1	0	0	0
Planarge	12.1	1.9	0	0	1	0	0	0	0	0	0	0	1	0
Planlanc	12.9	1.2	0	0	1	0	0	0	0	0	1	1	1	0
Planmedi	13.1	1.1	0	0	1	0	0	0	0	0	0	0	1	1
Poaannu	24.9	8	0.5	0	0.5	0	0	0	0	0	0	0	1	1
Polycalc	19.5	7.6	0	0	0	1	0	0	0	0	0	1	1	1
Polyrupe	15.9	3.4	0	0	0	0	1	0	0	1	1	1	0	0
Poteneum	17	2.5	0	0	1	0	0	0	0	0	0	1	1	1
Prungran	25	4.5	0	0	1	0	0	0	0	0	0	0	0	1
Prunlaci	12.4	1.2	0	0	1	0	0	0	0	0	0	1	1	0
Quercerr	12.6	1.6	0	0	0	0	0	0	1	0	0	1	0	0
Quercocc	5.8	0.3	0	0	0	0	0	1	0	1	1	1	0	0
Querhumi	10.7	1.3	0	0	0	0	0	0	1	0	0	0	1	0
Querilex	4.8	0.7	0	0	0	0	0	0	1	0	1	1	1	0
Ranubulb	20.6	1.3	0	0.5	0.5	0	0	0	0	0	0	1	1	1
Rhamalat	10.2	1.4	0	0	0	0	0.5	0.5	0	1	1	1	0	0
Rhamlyci	8.1	1.1	0	0	0	0	0	0.5	0.5	1	1	1	0	0
Rosacani	11.4	0.9	0	0	0	0	0	0	1	0	0	1	1	0
Rosmoffi	5.7	0.6	0	0	0	0	0	1	0	1	1	1	0	0
Rubipere	16.4	1.4	0	0	0	0	0	0	1	1	1	1	1	0
Sangmino	11.5	0.9	0	0	1	0	0	0	0	0	1	1	1	1
Satumont	19.4	2.5	0	0	0	1	0	0	0	0	0	1	1	0
Sedusedi	9.4	1.2	0	0	0	0	1	0	0	1	1	1	1	0
Sesemont	14.8	3.7	0	0	1	0	0	0	0	0	0	0	1	1
Sidehyss	13.7	1.9	0	0	0	0	1	0	0	0	0	0	0	1
Soncssp	23.4	3.1	0.5	0	0.5	0	0	0	0	1	1	1	0	0
Staedubi	9.1	1.3	0	0	0	0	1	0	0	1	1	1	0	0
Stipparv	4.5	0.5	0	0	1	0	0	0	0	1	1	1	0	0
Taradiss	21	2.3	0	0	1	0	0	0	0	0	0	0	1	1
Teuccham	14.7	2.4	0	0	0	0	1	0	0	1	1	1	1	1
Teucpoli	12.9	3.7	0	0	0	0	1	0	0	1	1	1	1	0
Teucpyre	13.7	0.9	0	0	0.5	0	0.5	0	0	0	0	1	1	1
Thympule	16.9	2.8	0	0	0	0	1	0	0	0	0	0	1	1
Thymserp	13.9	5.5	0	0	0	0	1	0	0	0	0	0	0	1
Thymtinc	6.5	0.8	0	0	0	0	0	1	0	1	0	0	0	0
Thymvulg	9.1	1.4	0	0	0	0	1	0	0	1	1	1	1	0
Trifprat	20.5	2.8	0	0	1	0	0	0	0	0	0	0	1	1
Vicipyre	23.1	4	0	0	1	0	0	0	0	0	0	0	0	1
Violwill	20.7	3.5	0	0	1	0	0	0	0	0	0	1	1	1
