SPECIES_NR;LETTERCODE;ABBREVIAT;RANG;GRUPPE;GATT_NAME;FAMILY;Z_OEK_L;OEK_L;Z_OEK_T;OEK_T;Z_OEK_K;OEK_K;Z_OEK_F;OEK_F;WASSERREGI;Z_OEK_R;OEK_R;Z_OEK_N;OEK_N;Z_OEK_S;OEK_S;Z_OEK_TO;OEK_TO;Z_OEK_SU;OEK_SU;Z_OEK_SON;OEK_SON;Z_LF_LEB;LF_LEB;Z_LF_B;LF_B;WUCHS_1;WUCHS_2;WUCHS_3;Z_SZ_V_GR;SZ_VERH_GR;Z_SZ_V_K;SZ_VERH_K;Z_SZ_O;SZ_O;Z_SZ_V;SZ_V;Z_SZ_U;SZ_U;Arealforme;Vorkommen;HEMEROBIE;Gilde;Mahdvertra;Weidevertr;Trittvertr;Futterwert;FutterDamw;Waldart_D
2959;HMNTHIR;Himantoglossum hircinum;SPE;S;Himantoglossum;Orchidaceae;;7;;7;;2;;3;;;9;;2;;0;;;;;;;;G;;S;;;;;5;;3;;2;;2;;0;;GE;om;K;3;3;3;3;0;
2960;HPPCCOM;Hippocrepis comosa;SPE;S;Hippocrepis;Fabaceae;;7;;5;;2;;3;;;7;;2;;0;;;;;;;;H,C;;W;;;;;5;;3;;2;;0;;0;;GE;om;Lk;3;4;4;6;0;K2.1
2962;HPPPRHA;Hippophae rhamnoides;SPE;S;Hippophae;Elaeagnaceae;;9;;6;;6;;4;~;;8;;3;;0;;;;;;;;N;;I;;;;!;8;!;4;!;4;!;2;;0;ntemp-b.c2-4litEUR;;mb;;0;0;0;0;0;S2.2
2963;HPPPR-C;Hippophae rhamnoides subsp. carpatica;SSP;S;Hippophae;Elaeagnaceae;;9;;6;;6;;4;~;;8;;3;;0;;;;;;;;N;;I;;;;!;8;!;4;!;4;!;2;;0;;;;;0;0;0;0;0;
2964;HPPPR-F;Hippophae rhamnoides subsp. fluviatilis;SSP;S;Hippophae;Elaeagnaceae;;9;;6;;6;;4;~;;8;;3;;0;;;;;;;;N;;I;;;;!;8;!;4;!;4;!;2;;0;;;;;0;0;0;0;0;
2965;HPPPR-R;Hippophae rhamnoides subsp. rhamnoides;SSP;S;Hippophae;Elaeagnaceae;;9;;6;;6;;4;~;;8;;3;;0;;;;;;;;N;;I;;;;!;8;!;4;!;4;!;2;;0;;;;;0;0;0;0;0;
2966;HPPRVUL;Hippuris vulgaris;SPE;S;Hippuris;Hippuridaceae;;7;;5;;0;;10;;;8;x;0;;0;;;;;;;;A;;S;;;;!;1;!;5;!;1;!;1;;0;antarctAM+m/mo-arct.c1-8CIRCPOL;;;;0;0;0;0;0;
2967;HRSCINC;Hirschfeldia incana;SPE;S;Hirschfeldia;Brassicaceae;;8;;6;;3;;3;;!;7;!;5;;0;;;;;;;;T;;S;;;;;3;;3;;3;;1;;0;;;cp;;0;0;0;0;0;
2969;HLCSLAN;Holcus lanatus;SPE;S;Holcus;Poaceae;;7;;6;;3;;6;;x;0;!;5;!;1;;;;;;;;H;;W;;;;;5;;4;;0;;0;;0;;GE;om;G;6;4;4;5;5;K2.2
2970;HLCSMOL;Holcus mollis;SPE;S;Holcus;Poaceae;;5;;5;;2;;5;;;2;;3;;0;;;;;;;;G,H;;W;;;;;8;;4;;1;;1;;1;;GE;omb;G;6;7;4;4;7;K2.1
2975;HLSTUMB;Holosteum umbellatum;SPE;S;Holosteum;Caryophyllaceae;;8;;6;;5;;3;;x;0;!;2;;0;;;;;;;;T;;W;;;;!;5;!;2;;0;;0;;0;;;ombc;;0;0;0;0;0;
2977;HLSTU-U;Holosteum umbellatum subsp. umbellatum;SSP;S;Holosteum;Caryophyllaceae;;8;;6;;5;;3;;x;0;!;2;;0;;;;;;;;T;;W;;;;!;5;!;2;;0;;0;;0;;;ombc;;0;0;0;0;0;
2978;HMGYALP;Homogyne alpina;SPE;S;Homogyne;Asteraceae;;6;;4;;2;;6;;;4;!;2;;0;;;;;;;;H;;I;;;;;7;;3;;1;;2;;1;;;om;;0;0;0;0;0;K2.1
2979;HMGYDIS;Homogyne discolor;SPE;S;Homogyne;Asteraceae;;8;;1;;4;;7;;;8;!;5;;0;;;;;;;;H;!;I;;;;;4;;5;;2;;1;;0;;;;;0;0;0;0;0;
2981;HNCKPEP;Honckenya peploides;SPE;S;Honckenya;Caryophyllaceae;;9;;6;;0;;6;=;;7;;7;;5;;;;;;;;G,H;;W;;;;;2;;7;;1;;0;;0;sm-arct.c1-7litCIRCPOL;;om;;0;0;0;0;0;
2982;HRDLEUR;Hordelymus europaeus;SPE;S;Hordelymus;Poaceae;;4;;5;;4;;5;;;7;;6;;0;;;;;;;;H;;W;;;;!;8;!;4;!;3;!;1;!;2;;;om;;0;0;0;0;0;K1.1
2984;HRDMJUB;Hordeum jubatum;SPE;S;Hordeum;Poaceae;;9;;6;;0;;6;;;7;!;6;!;2;;;;;;;;T;;S;;;;!;3;!;8;!;1;!;1;;0;;;bcp;;0;0;0;0;0;
2987;HRDMMAR;Hordeum marinum;SPE;S;Hordeum;Poaceae;;9;;6;;4;;8;=;;7;!;5;!;6;;;;;;;;T;;S;;;;;2;;4;;0;;0;;0;;;;;0;0;0;0;0;
2991;HRDMSEC;Hordeum secalinum;SPE;S;Hordeum;Poaceae;;8;;6;;2;;6;;;6;;5;!;4;;;;;;;;H;;S;;;;!;5;!;4;!;2;!;3;;0;m-temp.c1-4(lit)EUR, (N) NEUSEEL, SAFR, SAM?, NAM;GW;omb;G;7;7;7;3;0;
2992;HRMDPYR;Horminum pyrenaicum;SPE;S;Horminum;Lamiaceae;;9;;2;;4;;5;;;9;!;2;;0;;;;;;;;H;;S;;;;!;4;!;7;!;1;!;1;;0;;;;;0;0;0;0;0;
2993;HRNNPET;Hornungia petraea;SPE;S;Hornungia;Brassicaceae;;8;;7;;2;;2;;;9;;1;;0;;;;;;;;T;;V;;;;;5;;2;;1;;2;;0;;;om;;0;0;0;0;0;
2994;HTTNPAL;Hottonia palustris;SPE;S;Hottonia;Primulaceae;;7;;6;;5;;12;;;5;;4;;0;;;;;;;;A;;W;;;;;1;;3;;1;;2;;0;sm/mo-temp.c2-4EUR;;;;0;0;0;0;0;K2.1
2997;HMLSLUP;Humulus lupulus;SPE;S;Humulus;Cannabaceae;;7;;6;;3;;8;=;;6;;8;;0;;;;;;;;Hli;;S;;;;;8;;0;;0;;0;;0;;;omb;;0;0;0;0;0;K1.2
2999;HPRZSEL;Huperzia selago;SPE;S;Huperzia;Lycopodiaceae;;4;;3;;3;;6;;;3;;5;;0;;;;;;;;C;;I;;;;;7;;3;;1;;0;;0;austr-arct.c1-6CIRCPOL;;om;;0;0;0;0;0;K2.1
3005;HYDRMOR;Hydrocharis morsus-ranae;SPE;S;Hydrocharis;Hydrocharitaceae;;7;;6;;4;;11;;;7;!;6;;0;;;;;;;;A;;S;;;;;1;;1;;1;;1;;2;sm-b.c1-7EUR-WAS, (N) OAM;;;;0;0;0;0;0;
3007;HYDAVUL;Hydrocotyle vulgaris;SPE;S;Hydrocotyle;Apiaceae;;7;;5;;2;;9;~;;3;;2;;1;;;;;;;;H;;W;;;;!;1;!;7;!;1;;0;;0;;GE;om;K;2;7;3;1;0;K2.1
3012;HYMNTUN;Hymenophyllum tunbrigense;SPE;S;Hymenophyllum;Hymenophyllaceae;;5;;6;;1;;7;;!;3;y;0;;0;;;;;;;;C;;I;;;;;0;;0;;0;;0;;0;;;o;;0;0;0;0;0;K1.1
3014;HYSCNIG;Hyoscyamus niger;SPE;S;Hyoscyamus;Solanaceae;;8;;6;;0;;4;;;7;;9;;0;;;;;;;;T,H;;S;;;;;3;;5;;4;;1;;0;;;cp;;0;0;0;0;0;
3021;HYPRELE;Hypericum elegans;SPE;S;Hypericum;Clusiaceae;;7;;7;;6;;3;~;;9;!;2;;0;;;;;;;;H;;S;;;;;6;;1;;1;;2;;0;;;om;;0;0;0;0;0;
3022;HYPRELO;Hypericum elodes;SPE;S;Hypericum;Clusiaceae;;8;;6;;1;;9;=;;2;!;1;;0;;;;;;;;H;;W;;;;;1;;4;;1;;4;;0;;;o;;0;0;0;0;0;
