SPECIES_NR;LETTERCODE;ABBREVIAT;RANG;GRUPPE;GATT_NAME;FAMILY;Z_OEK_L;OEK_L;Z_OEK_T;OEK_T;Z_OEK_K;OEK_K;Z_OEK_F;OEK_F;WASSERREGI;Z_OEK_R;OEK_R;Z_OEK_N;OEK_N;Z_OEK_S;OEK_S;Z_OEK_TO;OEK_TO;Z_OEK_SU;OEK_SU;Z_OEK_SON;OEK_SON;Z_LF_LEB;LF_LEB;Z_LF_B;LF_B;WUCHS_1;WUCHS_2;WUCHS_3;Z_SZ_V_GR;SZ_VERH_GR;Z_SZ_V_K;SZ_VERH_K;Z_SZ_O;SZ_O;Z_SZ_V;SZ_V;Z_SZ_U;SZ_U;Arealforme;Vorkommen;HEMEROBIE;Gilde;Mahdvertra;Weidevertr;Trittvertr;Futterwert;FutterDamw;Waldart_D
1;ABISALB;Abies alba;SPE;S;Abies;Pinaceae;;3;;5;;4;x;0;;x;0;x;0;;0;;;;;;;;P;;I;;;;;0;;0;;0;;0;;0;;;o;;0;0;0;0;0;B1.1
2;ABTLTHE;Abutilon theophrasti;SPE;S;Abutilon;Malvaceae;;0;;0;;0;;0;;;0;;0;;0;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;;p;;0;0;0;0;0;
6;ACERCAM;Acer campestre;SPE;S;Acer;Aceraceae;;5;;6;;4;;5;;;7;;6;;0;;;;;;;;P;;S;;;;;8;;4;;1;;0;;0;;;om;;0;0;0;0;0;B2.1
7;ACERMON;Acer monspessulanum;SPE;S;Acer;Aceraceae;;6;;8;;4;;3;;;8;;4;;0;;;;;;;;P;;S;;;;;8;;4;;2;;0;;0;;;;;0;0;0;0;0;B2.1
8;ACERNEG;Acer negundo;SPE;S;Acer;Aceraceae;;5;;6;!;6;;6;;!;7;;7;;0;;;;;;;;P;;S;;;;;8;;4;;3;;3;;0;;;mb;;0;0;0;0;0;B2.1
13;ACEROPA;Acer opalus;SPE;S;Acer;Aceraceae;;5;;8;;4;;4;;;8;;6;;0;;;;;;;;P;;S;;;;;8;;4;;0;;0;;0;;;;;0;0;0;0;0;B1.2
14;ACERPLA;Acer platanoides;SPE;S;Acer;Aceraceae;;4;;6;;4;x;0;;x;0;x;0;;0;;;;;;;;P;;S;;;;;8;;4;;3;;4;;0;;;ombc;;0;0;0;0;0;B2.1
15;ACERPSE;Acer pseudoplatanus;SPE;S;Acer;Aceraceae;;4;;0;;4;;6;;x;0;;7;;0;;;;;;;;P;;S;;;;!;8;!;4;!;3;!;4;;0;;;ombc;;0;0;0;0;0;B2.1
17;ORCHANT;Aceras anthropophorum;SPE;S;Aceras;Orchidaceae;;7;;7;;2;;4;~;;8;;3;;0;;;;;;;;G;;S;;;;;5;;3;;2;;2;;0;;;om;;0;0;0;0;0;
19;ACHLATR;Achillea atrata;SPE;S;Achillea;Asteraceae;;9;!;2;;4;;5;;;8;;3;;0;;;;;;;;H;;W;;;;;4;;4;;1;;0;;0;;;;;0;0;0;0;0;K2.2
21;ACHLCLA;Achillea clavenae;SPE;S;Achillea;Asteraceae;;8;;2;!;5;;5;;;8;!;3;;0;;;;;;;;H;;W;;;;!;4;!;7;!;1;!;1;;0;;;;;0;0;0;0;0;K2.2
26;ACHLMAC;Achillea macrophylla;SPE;S;Achillea;Asteraceae;;6;;2;;4;;6;;;6;;8;;0;;;;;;;;H;;W;;;;;6;;3;;1;;1;;0;;;;;0;0;0;0;0;K2.2
29;ACHLCOL;Achillea collina;SPE;S;Achillea;Asteraceae;;9;;6;;6;;2;;;7;;2;;0;;;;;;;;H;;S;;;;;5;;3;;1;;0;;0;sm-stemp.c3-5EUR;;om;;0;0;0;0;0;K2.2
31;ACHLMIL;Achillea millefolium;SPE;S;Achillea;Asteraceae;;8;;0;;0;;4;;x;0;;5;!;1;;;;;;;;H,C;;W;;;;;5;;4;;2;;0;;0;;;;;0;0;0;0;0;K2.2
32;ACHLM-M;Achillea millefolium subsp. millefolium;SSP;S;Achillea;Asteraceae;;8;;0;;0;;4;;x;0;;5;!;1;;;;;;;;H,C;;W;;;;;5;;4;;2;;0;;0;;;omb;;0;0;0;0;0;
33;ACHLM-S;Achillea millefolium subsp. sudetica;SSP;S;Achillea;Asteraceae;;8;;0;;0;;4;;x;0;;5;!;1;;;;;;;;H,C;;W;;;;;5;;4;;2;;0;;0;;;;;0;0;0;0;0;
34;ACHLPAN;Achillea pannonica;SPE;S;Achillea;Asteraceae;;7;;7;;6;;3;;;6;;2;;0;;;;;;;;H;;S;;;;;5;;2;;1;;3;;0;;;om;;0;0;0;0;0;
35;ACHLROS;Achillea roseoalba;SPE;S;Achillea;Asteraceae;;8;;6;!;4;;5;;;7;!;7;;0;;;;;;;;H,C;;W;;;;;5;;4;;2;;1;;0;;;;;0;0;0;0;0;
36;ACHLSET;Achillea setacea;SPE;S;Achillea;Asteraceae;;9;;7;;8;;2;;;7;;1;;0;;;;;;;;H;;S;;;;;5;;3;;1;;0;;0;;;om;;0;0;0;0;0;
39;ACHLNOB;Achillea nobilis;SPE;S;Achillea;Asteraceae;;8;;7;;7;;4;;;8;;1;;0;;;;;;;;H;;S;;;;;5;;2;;1;;3;;0;;;omb;;0;0;0;0;0;
44;ACHLPTA;Achillea ptarmica;SPE;S;Achillea;Asteraceae;;8;!;6;;3;;8;;;4;;2;;0;;;;;;;;H;;S;;;;;5;;4;;1;;0;;0;;;m;;0;0;0;0;0;
48;ACNSALP;Acinos alpinus;SPE;S;Acinos;Lamiaceae;;9;;3;;3;;5;;;9;;2;;0;;;;;;;;H,Z;;S;;;;;4;;7;;1;;0;;0;;GE;;K;3;4;4;2;0;K2.2
49;ACNSARV;Acinos arvensis;SPE;S;Acinos;Lamiaceae;;9;;6;;3;;2;;;5;!;1;;0;;;;;;;;C,T;;W;;;;;5;;2;;0;;0;;0;;;om;;0;0;0;0;0;
52;ACNTSAG;Aconitum napellus s. l.;SPE;S;Aconitum;Ranunculaceae;;7;;0;;2;;7;;;7;;8;;0;;;;;;;;H;;S;;;;;0;;0;;0;;0;;0;;;o;;0;0;0;0;0;
61;ACNTVAR;Aconitum variegatum;SPE;S;Aconitum;Ranunculaceae;;5;;4;;4;;7;=;;8;;7;;0;;;;;;;;H;;S;;;;;8;;4;;3;;3;;0;;;o;;0;0;0;0;0;K1.1
69;ACRSCAL;Acorus calamus;SPE;S;Acorus;Acoraceae;;8;;6;;5;;10;;;7;;7;;0;;;;;;;;G,A;;S;;;;;1;;5;;1;;0;;0;;;omb;;0;0;0;0;0;
70;ACTASPI;Actaea spicata;SPE;S;Actaea;Ranunculaceae;;3;;5;;4;;5;;;6;;7;;0;;;;;;;;H,G;;S;;;;;8;;4;;3;;4;;0;;;o;;0;0;0;0;0;K1.1
71;ADNPLIL;Adenophora liliifolia;SPE;S;Adenophora;Campanulaceae;;7;!;6;;6;;6;~;;8;!;2;;0;;;;;;;;H;;S;;;;!;5;!;4;!;1;!;1;;0;;;;;0;0;0;0;0;K2.1
72;ADNSALL;Adenostyles alliariae;SPE;S;Adenostyles;Asteraceae;;6;;3;;2;;6;;x;0;;8;;0;;;;;;;;H;;S;;;;;6;;3;;1;;0;;0;;;;;0;0;0;0;0;K2.1
73;ADNSALP;Adenostyles glabra;SPE;S;Adenostyles;Asteraceae;;6;;3;;4;;6;;;8;;4;;0;;;;;;;;H;;S;;;;;4;;4;;1;;2;;0;;;;;0;0;0;0;0;K1.1
76;ADNEAES;Adonis aestivalis;SPE;S;Adonis;Ranunculaceae;;6;;6;;7;;3;;;8;;3;;0;;;;;;;;T;;S;;;;;3;;4;;1;;1;;0;;;c;;0;0;0;0;0;
78;ADNEFLA;Adonis flammea;SPE;S;Adonis;Ranunculaceae;;6;;6;;6;;3;;;9;!;3;;0;;;;;;;;T;;S;;;;;3;;4;;1;;1;;0;;;c;;0;0;0;0;0;
80;ADNEVER;Adonis vernalis;SPE;S;Adonis;Ranunculaceae;;7;;6;;7;;3;;;7;;2;;0;;;;;;;;H;;V;;;;;5;;3;;1;;2;;0;;;om;;0;0;0;0;0;K2.2
81;ADOXMOS;Adoxa moschatellina;SPE;S;Adoxa;Adoxaceae;;5;;0;;5;;6;;;7;!;8;;0;;;;;;;;G;;V;;;;;8;;4;;0;;0;;0;;;om;;0;0;0;0;0;K1.1
87;AGPDPOD;Aegopodium podagraria;SPE;S;Aegopodium;Apiaceae;;5;;5;;3;;6;;;7;;8;;0;;;;;;;;G,H;;S;;;;;3;;5;;3;;1;;0;;W;omb;K;6;2;4;4;0;K2.1
89;ASCLHIP;Aesculus hippocastanum;SPE;S;Aesculus;Hippocastanaceae;;0;;0;;0;;0;;;0;;0;;0;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;;mbc;;0;0;0;0;0;B2.2
92;ATHNSAX;Aethionema saxatile;SPE;S;Aethionema;Brassicaceae;;9;!;4;;4;!;4;~;;9;!;2;;0;;;;;;;;C;;W;;;;;4;;4;;0;;0;;0;;;;;0;0;0;0;0;
97;ATHSC-C;Aethusa cynapium subsp. cynapium;SSP;S;Aethusa;Apiaceae;;6;;6;;3;;5;;;8;;6;;0;;;;;;;;T;;S;;;;;3;;3;;3;;1;;0;;;bc;;0;0;0;0;0;
99;AGRMEUP;Agrimonia eupatoria;SPE;S;Agrimonia;Rosaceae;;7;;6;;4;;4;;;8;;4;;0;;;;;;;;H;;S;;;;;6;;1;;1;;1;;0;;W;;K;3;4;3;3;0;K2.2
100;AGRME-E;Agrimonia eupatoria subsp. eupatoria;SSP;S;Agrimonia;Rosaceae;;7;;6;;4;;4;;;8;;4;;0;;;;;;;;H;;S;;;;;6;;1;;1;;1;;0;;;om;;0;0;0;0;0;
102;AGRMPRO;Agrimonia procera;SPE;S;Agrimonia;Rosaceae;;5;;6;;3;;5;;;6;!;4;;0;;;;;;;;H;;S;;;;;6;;1;;1;;1;;0;;;;;0;0;0;0;0;K2.2
116;AGRSGIT;Agrostemma githago;SPE;S;Agrostemma;Caryophyllaceae;;7;;0;;0;x;0;;x;0;x;0;;0;;;;;;;;T;;W;;;;;3;;4;;0;;0;;0;m-b.c1-7EURAS, (N) AM;;c;;0;0;0;0;0;
118;AGREALP;Agrostis alpina;SPE;S;Agrostis;Poaceae;;8;;2;;3;;5;;;6;;4;;0;;;;;;;;H;;S;;;;!;4;!;7;!;1;;0;;0;;;;;0;0;0;0;0;K2.2
119;AGRESCH;Agrostis schleicheri;SPE;S;Agrostis;Poaceae;;8;!;1;;4;;5;;!;7;;4;;0;;;;;;;;H;;S;;;;;4;;7;;1;;2;;0;;;;;0;0;0;0;0;K2.2
121;AGRECAN;Agrostis canina;SPE;S;Agrostis;Poaceae;;9;;5;;5;;9;;;3;;2;;0;;;;;;;;H;;S;;;;!;1;!;7;;0;;0;;0;;GE;om;G;6;3;4;4;0;K2.1
124;AGRERUP;Agrostis rupestris;SPE;S;Agrostis;Poaceae;;8;;2;;2;;4;;;2;;1;;0;;;;;;;;H;;S;;;;;4;;6;;1;;0;;0;;GE;;G;3;5;5;6;0;K2.2
125;AGRESCA;Agrostis scabra;SPE;S;Agrostis;Poaceae;;8;!;6;;0;;8;~;!;4;y;0;;0;;;;;;;;H;;S;;;;!;3;!;8;!;1;!;1;;0;;;;;0;0;0;0;0;
127;AGREFAG;Agrostis stolonifera agg.;AGG;S;Agrostis;Poaceae;;0;;0;;0;;0;;;0;;0;;0;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;;om;;0;0;0;0;0;
128;AGREGIG;Agrostis gigantea;SPE;S;Agrostis;Poaceae;;7;;5;;3;;8;;;7;;6;;0;;;;;;;;H;;S;;;;;5;;4;;0;;0;;0;;GW;;G;8;7;7;8;8;K2.2
129;AGRESTO;Agrostis stolonifera;SPE;S;Agrostis;Poaceae;;8;;0;;5;;7;~;x;0;;5;;0;;;;;;;;H;;W;;;;!;3;!;8;!;1;;0;;0;;GW;;G;9;9;9;4;8;K2.2
131;ALNTALT;Ailanthus altissima;SPE;S;Ailanthus;Simaroubiaceae;;8;;8;!;2;;5;;!;7;!;8;;0;;;;;;;;P;;S;;;;;0;;0;;0;;0;;0;;;mbcp;;0;0;0;0;0;
136;AIRAPRA;Aira praecox;SPE;S;Aira;Poaceae;;9;;6;;2;;2;;;2;;1;;0;;;;;;;;T;;V;;;;;5;;2;;4;;1;;0;sm-temp.c1-3EUR, (N) austrAUST+AM+sm-tempAM;;omb;;0;0;0;0;0;
137;AJUGCHA;Ajuga chamaepitys;SPE;S;Ajuga;Lamiaceae;;7;;8;;2;;4;;;9;;2;;0;;;;;;;;H,T;;W;;;;;3;;4;;1;;1;;0;;;omb;;0;0;0;0;0;
138;AJUGGEN;Ajuga genevensis;SPE;S;Ajuga;Lamiaceae;;8;;0;;0;;3;;;7;;2;;0;;;;;;;;H;;S;;;;;5;;3;;0;;0;;0;;;om;;0;0;0;0;0;K2.2
140;AJUGPYR;Ajuga pyramidalis;SPE;S;Ajuga;Lamiaceae;;7;;0;;2;;5;;;1;;1;;0;;;;;;;;H;;S;;;;;5;;1;;1;;0;;0;sm/mo-temp.c1-4EUR;;om;;0;0;0;0;0;K2.2
141;AJUGREP;Ajuga reptans;SPE;S;Ajuga;Lamiaceae;;6;;0;;2;;6;;!;6;;6;;0;;;;;;;;H;;W;;;;;0;;0;;0;;0;;0;;GE;omb;K;7;5;5;3;2;K2.1
143;ALCEROS;Alcea rosea;SPE;S;Alcea;Malvaceae;;0;;0;;0;;0;;;0;;0;;0;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;;mbc;;0;0;0;0;0;
145;ALCHALP;Alchemilla alpina;SPE;S;Alchemilla;Rosaceae;;9;;2;;2;;5;;;2;;2;;0;;;;;;;;H;;S;;;;!;5;!;1;!;1;!;1;;0;;;;;0;0;0;0;0;
165;ALCHPAL;Alchemilla grossidens;SPE;S;Alchemilla;Rosaceae;;7;;3;!;2;!;5;;;8;!;2;;0;;;;;;;;H;!;S;;;;;0;;0;;0;;0;;0;;;;;0;0;0;0;0;
166;ALCHHOP;Alchemilla hoppeana;SPE;S;Alchemilla;Rosaceae;;9;;2;;4;;5;;;9;!;3;;0;;;;;;;;H;;S;;;;;4;;7;;1;;0;;0;;;;;0;0;0;0;0;
172;ALCHPAL;Alchemilla pallens;SPE;S;Alchemilla;Rosaceae;;7;;2;!;3;;5;;!;7;!;4;;0;;;;;;;;H;!;W;;;;;4;;7;;1;;2;;0;;;;;0;0;0;0;0;
178;ALCHSER;Alchemilla cuspidens;SPE;S;Alchemilla;Rosaceae;;8;;3;;0;;5;;y;0;y;0;;0;;;;;;;;H;;S;;;;;0;;0;;0;;0;;0;;;;;0;0;0;0;0;
179;ALCHFAL;Alchemilla fallax;SPE;S;Alchemilla;Rosaceae;;8;;3;!;4;;5;;;4;!;2;;0;;;;;;;;H;;S;;;;!;5;!;1;!;1;!;1;;0;;;;;0;0;0;0;0;
180;ALCHFIS;Alchemilla fissa;SPE;S;Alchemilla;Rosaceae;;8;;2;;4;;6;;x;0;;3;;0;;;;;;;;H;;S;;;;;4;;5;;0;;0;;0;;;;;0;0;0;0;0;
183;ALCHINC;Alchemilla incisa;SPE;S;Alchemilla;Rosaceae;;8;;3;;0;!;8;;;8;!;2;;0;;;;;;;;H;!;W;;;;!;1;!;6;!;1;!;2;;0;;;;;0;0;0;0;0;
185;ALCHOTH;Alchemilla othmarii;SPE;S;Alchemilla;Rosaceae;;8;;3;;0;!;5;;;7;!;2;;0;;;;;;;;H;!;S;;;;;0;;0;;0;;0;;0;;;;;0;0;0;0;0;
190;ALCHRAG;Alchemilla hybrida agg.;AGG;S;Alchemilla;Rosaceae;;0;;0;;0;;0;;;0;;0;;0;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;;om;;0;0;0;0;0;
192;ALCHCOL;Alchemilla colorata;SPE;S;Alchemilla;Rosaceae;;8;;2;!;3;!;4;;!;7;!;2;;0;;;;;;;;H;!;S;;;;;4;;7;;1;;0;;0;;;;;0;0;0;0;0;
193;ALCHEXI;Alchemilla exigua;SPE;S;Alchemilla;Rosaceae;;8;;3;;0;;5;;!;8;!;4;;0;;;;;;;;H;!;S;;;;!;4;!;7;!;1;!;1;;0;;;;;0;0;0;0;0;
194;ALCHFLA;Alchemilla flabellata;SPE;S;Alchemilla;Rosaceae;;8;;1;;0;;4;;x;0;!;1;;0;;;;;;;;H;!;W;;;;;4;;6;;0;;0;;0;;;;;0;0;0;0;0;
195;ALCHGLA;Alchemilla glaucescens;SPE;S;Alchemilla;Rosaceae;;7;!;4;!;4;;5;;;4;!;3;;0;;;;;;;;H;;S;;;;;5;;1;;1;;0;;0;sm/dealp-b.c2-5EUR;;;;0;0;0;0;0;
205;ALCHSPL;Alchemilla kerneri;SPE;S;Alchemilla;Rosaceae;;8;;2;;0;!;5;;y;0;y;0;;0;;;;;;;;H;!;S;;;;;0;;0;;0;;0;;0;;;;;0;0;0;0;0;
209;ALCHSAG;Alchemilla vulgaris agg.;AGG;S;Alchemilla;Rosaceae;;0;;0;;0;;0;;;0;;0;;0;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;;m;;0;0;0;0;0;
214;ALCHCON;Alchemilla cleistophylla;SPE;S;Alchemilla;Rosaceae;!;8;!;3;;0;!;4;;y;0;y;0;;0;;;;;;;;H;;S;;;;;0;;0;;0;;0;;0;;;;;0;0;0;0;0;
216;ALCHCON;Alchemilla connivens;SPE;S;Alchemilla;Rosaceae;!;7;!;4;;0;!;5;;!;7;x;0;;0;;;;;;;;H;;S;;;;;0;;0;;0;;0;;0;;;;;0;0;0;0;0;
218;ALCHCOR;Alchemilla coriacea;SPE;S;Alchemilla;Rosaceae;;7;;3;;3;;9;;;4;;3;;0;;;;;;;;H;;S;;;;;1;;6;;1;;1;;0;;;;;0;0;0;0;0;
219;ALCHCRI;Alchemilla crinita;SPE;S;Alchemilla;Rosaceae;;7;;3;!;4;;6;;x;0;!;4;;0;;;;;;;;H;;S;;;;;0;;0;;0;;0;;0;;;;;0;0;0;0;0;
223;ALCHDEC;Alchemilla decumbens;SPE;S;Alchemilla;Rosaceae;;7;;2;;0;;6;;x;0;y;0;;0;;;;;;;;H;;S;;;;!;4;!;5;;0;;0;;0;;;;;0;0;0;0;0;
226;ALCHEFF;Alchemilla effusa;SPE;S;Alchemilla;Rosaceae;;8;!;3;;0;!;9;;!;4;!;2;;0;;;;;;;;H;!;S;;;;!;1;!;6;!;1;!;1;;0;;;;;0;0;0;0;0;
227;ALCHFIL;Alchemilla filicaulis;SPE;S;Alchemilla;Rosaceae;;0;;0;;0;;0;;;0;;0;;0;;;;;;;;;;;;;;;0;;0;;0;;0;;0;sm/mo-alp-arct.c1-4EUR-GRÖNL-OAM;;;;0;0;0;0;0;
241;ALCHEFF;Alchemilla inconcinna;SPE;S;Alchemilla;Rosaceae;;7;!;3;;0;;5;;!;6;!;6;;0;;;;;;;;H;;S;;;;!;5;!;4;!;2;!;4;;0;;;;;0;0;0;0;0;
245;ALCHMON;Alchemilla monticola;SPE;S;Alchemilla;Rosaceae;;6;;0;!;5;;5;;;6;;4;;0;;;;;;;;H;;S;;;;;5;;4;;2;;0;;0;;GE;;K;6;2;2;6;0;
250;ALCHOBT;Alchemilla obtusa;SPE;S;Alchemilla;Rosaceae;;7;!;3;;0;;6;;!;4;!;4;;0;;;;;;;;H;;S;;;;!;4;!;5;!;1;!;1;;0;;;;;0;0;0;0;0;
254;ALCHREN;Alchemilla reniformis;SPE;S;Alchemilla;Rosaceae;;7;;3;!;4;;8;;!;4;!;2;;0;;;;;;;;H;;S;;;;!;1;!;7;!;3;;0;;0;;;;;0;0;0;0;0;
256;ALCHRUB;Alchemilla rubristipula;SPE;S;Alchemilla;Rosaceae;;7;;4;!;4;;5;;!;6;!;4;;0;;;;;;;;H;;S;;;;!;5;!;4;!;2;!;2;;0;;;;;0;0;0;0;0;
260;ALCHSTR;Alchemilla sinuata;SPE;S;Alchemilla;Rosaceae;;7;;3;!;4;;5;;!;6;!;5;;0;;;;;;;;H;;S;;;;!;5;!;4;!;2;!;4;;0;;;;;0;0;0;0;0;
262;ALCHSTR;Alchemilla straminea;SPE;S;Alchemilla;Rosaceae;;7;;4;!;4;;9;;!;4;!;3;;0;;;;;;;;H;;S;;;;;1;;6;;1;;1;;0;;;;;0;0;0;0;0;
263;ALCHOTR;Alchemilla strigosula;SPE;S;Alchemilla;Rosaceae;!;7;!;4;;4;;5;;y;0;y;0;;0;;;;;;;;H;!;S;;;;;0;;0;;0;;0;;0;;;;;0;0;0;0;0;
265;ALCHSUB;Alchemilla subcrenata;SPE;S;Alchemilla;Rosaceae;;7;;0;!;4;;5;;;5;;6;;0;;;;;;;;H;;S;;;;!;5;!;4;!;2;!;2;;0;;;;;0;0;0;0;0;
267;ALCHTEN;Alchemilla tenuis;SPE;S;Alchemilla;Rosaceae;;7;!;4;;0;;5;;!;6;!;4;;0;;;;;;;;H;;S;;;;!;5;!;4;!;2;!;2;;0;;;;;0;0;0;0;0;
268;ALCHTIR;Alchemilla tirolensis;SPE;S;Alchemilla;Rosaceae;;7;;3;;0;;5;;!;7;!;5;;0;;;;;;;;H;;S;;;;!;5;!;4;!;2;!;4;;0;;;;;0;0;0;0;0;
271;ALCHVER;Alchemilla versipila;SPE;S;Alchemilla;Rosaceae;;8;;2;!;4;;5;;;8;!;4;;0;;;;;;;;H;;S;;;;;4;;4;;1;;1;;0;;;;;0;0;0;0;0;
273;ALCHXAN;Alchemilla xanthochlora;SPE;S;Alchemilla;Rosaceae;!;6;;4;!;2;!;7;;!;7;y;0;;0;;;;;;;;H;;S;;;;;5;;4;;0;;0;;0;sm/mo-temp/demo.c1-4EUR, (N) tempOAM, AUST;;;;0;0;0;0;0;
274;ALDRVES;Aldrovanda vesiculosa;SPE;S;Aldrovanda;Droseraceae;!;5;;8;;4;;12;;!;7;!;4;;0;;;;;;;;A;;S;;;;;1;;1;;1;;1;2;0;;;o;;0;0;0;0;0;
276;ALSMGRA;Alisma gramineum;SPE;S;Alisma;Alismataceae;!;7;;7;!;6;;11;;!;7;!;4;;0;;;;;;;;A;;S;;;;!;1;!;3;!;1;;0;;0;sm-temp.c2-9EURAS+WAM+(OAM);;omb;;0;0;0;0;0;
277;ALSMLAN;Alisma lanceolatum;SPE;S;Alisma;Alismataceae;;7;;7;!;2;;10;;;7;!;5;;0;;;;;;;;A;;S;;;;;1;;5;;1;;0;;0;m-temp.c2-9EUR-WAS;;omb;;0;0;0;0;0;
278;ALSMPLA;Alisma plantago-aquatica s. str.;SPE;S;Alisma;Alismataceae;;7;;5;;0;;10;;x;0;;8;;0;;;;;;;;A;;S;;;;;1;;5;;0;;0;;0;;;omb;;0;0;0;0;0;K2.2
280;ALLRPET;Alliaria petiolata;SPE;S;Alliaria;Brassicaceae;;5;;6;;3;;5;;;7;;9;;0;;;;;;;;H;;S;;;;;3;;5;;3;;0;;0;;;omb;;0;0;0;0;0;K2.1
284;ALLMANG;Allium angulosum;SPE;S;Allium;Alliaceae;;8;;7;;7;;8;~;;8;;2;;0;;;;;;;;G;;S;;;;;5;;4;;1;;1;;0;sm-temp.c3-7EUR-WSIB;GE;om;K;4;7;3;1;0;
287;ALLMCAR;Allium carinatum;SPE;S;Allium;Alliaceae;;0;;0;;0;;0;;;0;;0;;0;;;;;;;;;;;;;;;0;;0;;0;;0;;0;sm.c2-7-temp.c2-3EUR, (N) c1EUR;;om;;0;0;0;0;0;K2.2
300;ALLMOLE;Allium oleraceum;SPE;S;Allium;Alliaceae;;7;;6;;4;;3;;;7;;4;;0;;;;;;;;G;;V;;;;;5;;3;;0;;0;;0;;GE;om;K;5;7;2;1;0;
307;ALLMPAR;Allium paradoxum;SPE;S;Allium;Alliaceae;;6;;6;;3;!;5;;!;7;!;7;;0;;;;;;;;G;;S;;;;!;3;!;5;!;3;!;2;;0;;;m;;0;0;0;0;0;K1.2
315;ALLMSPH;Allium sphaerocephalon;SPE;S;Allium;Alliaceae;;9;;8;;5;;3;;;8;;2;;0;;;;;;;;G;;S;;;;;5;;3;;0;;0;;0;;GE;;K;4;7;3;1;0;
316;ALLMSTR;Allium strictum;SPE;S;Allium;Alliaceae;;9;!;6;;8;!;2;;!;6;!;1;;0;;;;;;;;G;;S;;;;;5;;2;;1;;3;;0;;;;;0;0;0;0;0;
317;ALLMSUA;Allium suaveolens;SPE;S;Allium;Alliaceae;;7;;6;;5;;8;~;;9;;2;;0;;;;;;;;G;;S;;;;;5;;4;;1;;1;;0;;GE;;K;4;7;3;1;0;
321;ALLMVIC;Allium victorialis;SPE;S;Allium;Alliaceae;!;8;;3;;0;;5;;!;6;;4;;0;;;;;;;;G;;S;;;;;4;;7;;1;;2;;0;;;;;0;0;0;0;0;K2.2
325;ALNSGLU;Alnus glutinosa;SPE;S;Alnus;Betulaceae;;5;;5;;3;;9;=;;6;x;0;;1;;;;;;;;P;;S;;;;;8;;2;;1;;1;;0;;;om;;0;0;0;0;0;B2.1
326;ALNSINC;Alnus incana;SPE;S;Alnus;Betulaceae;;6;;4;;5;;7;=;;8;x;0;;0;;;;;;;;P;;S;;;;;8;;4;;3;;3;;0;;;mb;;0;0;0;0;0;B2.1
329;ALPCAEQ;Alopecurus aequalis;SPE;S;Alopecurus;Poaceae;;9;;0;;5;;9;=;x;0;;9;;0;;;;;;;;T,H;;S;;;;;3;;2;;1;;0;;0;;;o;;0;0;0;0;0;
330;ALPCBUL;Alopecurus bulbosus;SPE;S;Alopecurus;Poaceae;;8;;6;;2;;7;=;!;7;!;5;!;3;;;;;;;;H;;S;;;;!;2;!;6;!;1;!;2;;0;;;;;0;0;0;0;0;
331;ALPCGEN;Alopecurus geniculatus;SPE;S;Alopecurus;Poaceae;;9;;6;;3;;8;=;;7;;7;!;2;;;;;;;;H;;W;;;;;3;;8;;1;;1;;0;;GE;omb;G;4;4;5;5;9;
333;ALPCMYO;Alopecurus myosuroides;SPE;S;Alopecurus;Poaceae;;6;;6;;3;;5;;;7;;6;;0;;;;;;;;T;;W;;;;;3;;4;;1;;1;;0;;;cp;;0;0;0;0;0;
335;ALPCARU;Alopecurus arundinaceus;SPE;S;Alopecurus;Poaceae;;0;;0;;0;;0;;;0;;0;;0;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;;om;;0;0;0;0;0;
336;ALPCPRA;Alopecurus pratensis;SPE;S;Alopecurus;Poaceae;;6;;0;;5;;6;;;6;;7;;0;;;;;;;;H;;S;;;;;5;;4;;0;;0;;0;;GW;mb;G;7;4;4;8;7;K2.2
339;ALTHHIR;Althaea hirsuta;SPE;S;Althaea;Malvaceae;;7;;8;;5;;4;;;8;;3;;0;;;;;;;;T,H;;S;;;;;3;;0;;0;;0;;0;;;bcp;;0;0;0;0;0;
340;ALTHOFF;Althaea officinalis;SPE;S;Althaea;Malvaceae;;6;;7;;6;;7;=;;8;;4;!;2;;;;;;;;H;;S;;;;!;3;!;8;!;1;!;1;;0;m-stemp.c4-9+(lit)EUR-WAS, (N) OAM, (A) c1-3EUR;;m;;0;0;0;0;0;
345;ALYSALY;Alyssum alyssoides;SPE;S;Alyssum;Brassicaceae;;9;;6;;4;;3;;;8;;1;;0;;;;;;;;T,H;;S;;;;;5;;2;;1;;2;;0;;;mb;;0;0;0;0;0;
350;ALYSMON;Alyssum montanum;SPE;S;Alyssum;Brassicaceae;;9;;6;;4;;2;;;7;;1;;0;;;;;;;;C;;I;;;;!;5;!;2;!;1;!;3;;0;;;om;;0;0;0;0;0;
357;AMRNALB;Amaranthus albus;SPE;S;Amaranthus;Amaranthaceae;;8;;8;;6;;2;;x;0;;7;;1;;;;;;;;T;;S;;;;;3;;3;;0;;0;;0;;;p;;0;0;0;0;0;
