"Plot" "Species" "Height" "SLA"
"477" 10 "Spe_pur" 5 14.64286
"478" 10 "Spe_pur" 3 24
"479" 10 "Spe_pur" 9 7.28814
"480" 10 "Spe_pur" 4 14.72222
"481" 10 "Spe_pur" 2 22.30769
"482" 10 "Spe_pur" 6 15.07042
"483" 10 "Tol_bar" 7 23.14162
"484" 10 "Tol_bar" 5.5 27.4
"485" 10 "Tol_bar" 9 32.61324
"486" 10 "Tol_bar" 10 26.98675
"487" 10 "Tol_bar" 10 34.18462
"488" 10 "Tol_bar" 7 26.51982
"489" 10 "Tol_bar" 6 20.67797
"490" 10 "Tol_bar" 7 20.60627
"491" 10 "Tol_bar" 11 20.17123
"492" 10 "Tol_bar" 9 25.35714
"493" 10 "Tri_tom" 3 35.60606
"494" 10 "Tri_tom" 1 41.21053
"495" 10 "Tri_tom" 2.5 30.10989
"496" 10 "Tri_tom" 3 30.62222
"497" 10 "Tri_tom" 3 31.90883
"498" 10 "Tri_tom" 5 29.07186
"499" 10 "Tri_tom" 3 34.43769
"500" 10 "Tri_tom" 2 37.00361
"501" 10 "Tri_tom" 2 31.36364
"502" 10 "Tri_tom" 3 42.5
"703" 14 "Ana_cla" 6 16.47179487
"704" 14 "Ana_cla" 6 22.52600297
"705" 14 "Ana_cla" 7 26.43185299
"706" 14 "Ana_cla" 11 20.92741935
"707" 14 "Ana_cla" 9 18.36956522
"708" 14 "Ana_cla" 6.5 15.40337711
"709" 14 "Ana_cla" 7.8 11.26126126
"710" 14 "Ana_cla" 4.5 13.30860534
"711" 14 "Ana_cla" 8.4 16.62576687
"712" 14 "Ana_cla" 7 13.71541502
"713" 14 "Ant_cor" 3.5 22.28746713
"714" 14 "Ant_cor" 7 26.352657
"715" 14 "Ant_cor" 5.5 20.9510291
"716" 14 "Ant_cor" 8 19.58896066
"717" 14 "Ant_cor" 4 20.35584604
"718" 14 "Ant_cor" 5 14.20662598
"719" 14 "Ant_cor" 3.5 16.51102464
"720" 14 "Ant_cor" 7.5 16.12410072
"721" 14 "Ant_cor" 6.5 15.11668868
"722" 14 "Ant_cor" 4.5 15.73438874
"723" 14 "Bis_pel" 4.4 28.75
"724" 14 "Bis_pel" 4.1 33.3423913
"725" 14 "Bis_pel" 4.4 33.71134021
"726" 14 "Bis_pel" 3.4 32.20963173
"727" 14 "Bis_pel" 3.4 30.27522936
"728" 14 "Bis_pel" 5.1 25.52904564
"729" 14 "Bis_pel" 5.4 17.60364004
"730" 14 "Bis_pel" 2.5 21.97211155
"731" 14 "Bis_pel" 4.8 17.11978466
"732" 14 "Bis_pel" 2.6 16.71328671
"733" 14 "Ech_pla" 15 15.14374514
"734" 14 "Ech_pla" 12 14.63642428
"735" 14 "Ech_pla" 14 16.73488372
"736" 14 "Ech_pla" 18 20.92449923
"737" 14 "Ech_pla" 12 20.44159544
"738" 14 "Ech_pla" 10 18.20740741
"739" 14 "Ech_pla" 7 17.82437746
"740" 14 "Ech_pla" 18 16.80907877
"741" 14 "Ech_pla" 16 11.95876289
"742" 14 "Pla_lag" 4.5 19.51315789
"743" 14 "Pla_lag" 4.3 23.52517986
"744" 14 "Pla_lag" 4.9 18.77713459
"745" 14 "Pla_lag" 4.2 27.0212766
"746" 14 "Pla_lag" 2.5 29.72343523
"747" 14 "Pla_lag" 5 17.87903667
"748" 14 "Pla_lag" 7 13.89503473
"749" 14 "Pla_lag" 4.4 17.59734093
"750" 14 "Pla_lag" 3.9 15.23780855
"751" 14 "Pla_lag" 3.5 12.12611156
"752" 14 "Tri_che" 4.8 21.2244898
"753" 14 "Tri_che" 4 23.58714044
"754" 14 "Tri_che" 5.2 33.28173375
"755" 14 "Tri_che" 4.5 28.98907104
"756" 14 "Tri_che" 4.5 22.71428571
"757" 14 "Tri_che" 4.5 20.14218009
"758" 14 "Tri_che" 4 20
"759" 14 "Tri_che" 2 19.2
"984" 18 "Tri_pan" 19 41.30901288
"985" 18 "Tri_pan" 15 53.46534653
"986" 18 "Tri_pan" 14.5 46
"987" 18 "Tri_pan" 17 39.60606061
"988" 18 "Tri_pan" 18 38.96162528
"989" 18 "Tri_pan" 21 50.04819277
"990" 18 "Tri_pan" 11 40.84507042
"991" 18 "Tri_pan" 16 30.06666667
"992" 18 "Tri_pan" 23 24.62395543
"993" 18 "Tri_pan" 27 34.8900463
"994" 18 "Ant_arv" 9 26.5
"995" 18 "Ant_arv" 13 23.26446281
"996" 18 "Ant_arv" 13 26.45933014
"997" 18 "Ant_arv" 10 26.36645963
"998" 18 "Ant_arv" 12 30.59171598
"999" 18 "Ant_arv" 11 29.21606119
"1000" 18 "Ant_arv" 17 29.30722892
"1001" 18 "Ant_arv" 16 30.1056338
"1002" 18 "Ant_arv" 8 27.3902439
"1003" 18 "Ant_arv" 12 28.42245989
"1004" 18 "Dac_glo" 30 22.38341969
"1005" 18 "Dac_glo" 34 23.99699474
"1006" 18 "Dac_glo" 29 30.82962963
"1007" 18 "Dac_glo" 22 40.34178611
"1008" 18 "Dac_glo" 20 27.72209567
"1009" 18 "Dac_glo" 33 21.80163785
"1010" 18 "Dac_glo" 32 26.01419878
"1011" 18 "Dac_glo" 25 26.81782643
"1012" 18 "Dac_glo" 34 22.33384853
"1013" 18 "Dac_glo" 41 32.256
"1014" 18 "Ech_pla" 27 22.67778323
"1015" 18 "Ech_pla" 18 18.89640812
"1016" 18 "Ech_pla" 16 25.58109834
"1017" 18 "Ech_pla" 19 21.70474517
"1018" 18 "Ech_pla" 19 24.22509225
"1019" 18 "Ech_pla" 25 21.19227144
"1020" 18 "Ech_pla" 24 20.64611348
"1021" 18 "Ech_pla" 20 19.44109241
"1022" 18 "Ech_pla" 25 19.50717889
"1023" 18 "Ech_pla" 26 20.21682848
"1024" 18 "Pla_lag" 5.3 24.4077961
"1025" 18 "Pla_lag" 4.5 25.1342711
"1026" 18 "Pla_lag" 6.5 26.65657177
"1027" 18 "Pla_lag" 5.2 25.97491448
"1028" 18 "Pla_lag" 4.7 22.94494238
"1029" 18 "Pla_lag" 6.5 22.20140515
"1030" 18 "Pla_lag" 7.5 31.87214612
"1031" 18 "Pla_lag" 7.5 27.67605634
"1032" 18 "Pla_lag" 4 28.79818594
"1033" 18 "Pla_lag" 6 21.3046815
"1034" 18 "Psi_inc" 11 22.85714286
"1035" 18 "Psi_inc" 9 26.57657658
"1036" 18 "Psi_inc" 16 19.63963964
"1037" 18 "Psi_inc" 6 15.07462687
"1038" 18 "Psi_inc" 7 34.16666667
"1039" 18 "Psi_inc" 14 10
"1040" 18 "Psi_inc" 12 46.36363636
"1041" 18 "Psi_inc" 10 13.09859155
"1042" 18 "Psi_inc" 10 31.39344262
"1043" 18 "Psi_inc" 13 54.86486486
"1044" 18 "Tri_che" 9 24.3877551
"1045" 18 "Tri_che" 7 26.90176322
"1046" 18 "Tri_che" 8 25.28557599
