"Plot" "Species" "Height" "SLA"
"2390" 40 "Hor_mur" 15 13.95209581
"2391" 40 "Hor_mur" 21 23.14426634
"2392" 40 "Hor_mur" 16.2 36.47260274
"2393" 40 "Hor_mur" 13.8 27.59259259
"2394" 40 "Hor_mur" 18.9 19.95485327
"2395" 40 "Hor_mur" 20.4 20.2739726
"2396" 40 "Hor_mur" 15.4 23.77224199
"2397" 40 "Hor_mur" 20.7 40.56603774
"2398" 40 "Hor_mur" 20 28.61788618
"2399" 40 "Hor_mur" 15.3 31.58038147
"2400" 40 "Pla_lag" 9.5 28.99692652
"2401" 40 "Pla_lag" 9.4 24.80458572
"2402" 40 "Pla_lag" 10.4 29.7944339
"2403" 40 "Pla_lag" 8 29.66733871
"2404" 40 "Pla_lag" 9 26.19614512
"2405" 40 "Pla_lag" 9.5 29.34183464
"2406" 40 "Pla_lag" 8 26.95896757
"2407" 40 "Pla_lag" 7.5 26.81441591
"2408" 40 "Pla_lag" 8.2 25.38064907
"2409" 40 "Pla_lag" 10 28.76022495
"2410" 40 "Tri_che" 12 25.19327731
"2411" 40 "Tri_che" 8.2 27.47645951
"2412" 40 "Tri_che" 9.7 28.45916795
"2413" 40 "Tri_che" 10 29.02654867
"2414" 40 "Tri_che" 8.1 20.81081081
"2415" 40 "Tri_che" 11.8 26.61522634
"2416" 40 "Tri_che" 7 28.56115108
"2417" 40 "Tri_che" 8.7 29.74874372
"2418" 40 "Tri_che" 8 26.88971499
"2419" 40 "Tri_che" 7.8 26.56641604
