Rain,Gemarkung,x,y,Datum_DG3,Block_Veg,Exposition,Beschattung,Breite,Laenge,Mahdtermine,Deckung_Kraut,Deckung_Offenboden,Bio_kon,Ackerzahl,Puffer_Bluehstreifen,Kulturart,Nutzung_oberhalb,Nutzung_unterhalb,Wegtyp,LS_Analyse_Uproz,LS_Analyse_U,LS_Analyse_V,Nitrat_N,pH,Streu_6m,Streu_12m,Streu_18m,A_W_B,Lesestein,Ameise,Haufen,Abriss,A_M,Befahren,Herbizid,Tritt,Pflug,blau_DG1,pink_DG1,weiss_DG1,gelb_DG1,gesamt_DG1,blau_DG2,pink_DG2,weiss_DG2,gelb_DG2,gesamt_DG2,blau_DG3,pink_DG3,weiss_DG3,gelb_DG3,gesamt_DG3
Mai_2,Maisach,669935.78,5341910879,10.06.2022,1,K,zT,1,41,0,12.5,12.5,NA,36,nein,Luzerne ,A11,B112,mgM,29.7,2,3,23,7.37,2,0.5,2,0,0,0,0,0,0,0,0,0,0,,,.1,,.1,.1,.1,1+,,1+,,.1,.2,,.2
Mai_3,Maisach,668861.88,5343110991,09.06.2022,1,K,gn,1.1,52,0,12.5,0.5,NA,43,ja,Kartoffel,A11,A11,G,19.0,2,1,92.3,7.8,1.5,1,1,0,0,0,0,0,0,1,0,0,0,.1,.1,.1,.1,.2,.1,,.2,,.2,,,.1,.1,.1
Mai_4,Maisach,666614.40,5342626143,06.07.2022,2,K,gn,1.1,268,1,30,30,NA,38,nein,Gerste,A11,K132-GB00BK,S,18.2,2,1,9.7,7.81,0,0,0,0,0,0,0,0,0,1,0,0,0,.1,.1,.4,1-,2,.1,.1,.2,.4,1+,,,.2,.4,1+
Moos_1,Moosinning,709370.30,5350750577,15.06.2022,1,K,gn,1,68,1,40,7.5,NA,52,nein,Weizen,A12,A11,mgM,11.0,2,1,24.6,7.85,0.8,0.2,0.2,0,0,0,0,0,0,0,0,0,0,.1,,.4,.1,.4,.1,.1,.4,.1,.4,,.1,,,.1
Moos_2,Moosinning,707746.58,5350124169,18.07.2022,3,K,gn,1.5,163,2,30,0.5,NA,36,nein,Wiese,G11,A11,G,2.5,1,1,30.8,7.87,0.8,0.2,0.2,0,0,0,0,0,0,0,0,0,0,.1,.1,1-,,1-,,.1,2,.1,2,,.1,.1,,.1
Neuf_1,Neufahrn,697742.00,5356279063,11.06.2022,1,K,gn,1,121,1,40,7.5,NA,41,nein,Weizen,A12,A11,mgM,9.7,1,2,23.1,7.78,1.1,0.6,0.5,0,0,0,0,0,0,0,0,0,0,.1,.1,1-,.1,1+,.1,.1,1+,.1,1+,,,.1,.1,.1
Neuf_2,Neufahrn,697003.01,5353548382,11.06.2022,1,K,gn,1,84,2,20,2,NA,34,nein,Gerste,A11,A11,mgM,3.5,1,1,11.5,7.67,2.5,1.8,2,0,0,0,0,0,0,0,0,0,0,,.1,.1,.1,.2,.1,.1,.2,.1,.4,,.1,.1,.1,.1
Neuf_3 ,Neufahrn,698834.80,5353761972,12.06.2022,1,K,gn,4,368,0.5,30,0.5,NA,45,nein,Mais,A11,B54,mgM,13.2,2,1,21.1,7.94,1.75,0.4,0.5,0,0,0,0,0,0,0,0,0,0,,1-,.4,.2,1+,,1-,.4,.1,1+,,1-,,,1-
Oneu_1,Oberneuching,706871.55,5347234139,15.06.2022,1,K,gn,1,328,0,12.5,4,NA,41,nein,Gerste,A11,A11,G,5.6,1,2,90.1,7.61,0.1,0.4,0.1,0,0,1,0,0,0,0,0,0,0,.1,,.1,.1,.2,.1,,.2,,.4,,.1,,,.1
Oneu_2,Oberneuching,708274.56,5346401537,05.07.2022,2,K,gn,1,38,1,20,0.5,NA,39,nein,Mais,A11,K122,mgM,7.6,1,1,71.8,7.74,0.6,0.7,0.6,0,0,0,0,0,0,1,0,0,0,.1,,.1,.1,.2,,,.1,,.1,,,,,0
Oneu_3,Oberneuching,710113.74,5346926783,15.06.2022,1,K,zT,1.2,72,0,20,0.5,NA,36,nein,Mais,A11,K122,mgM,2.3,1,1,60.6,7.73,2.7,1.8,1.3,0,0,0,0,0,0,0,0,0,0,,,.1,,.1,,,.1,,.1,,,.1,,.1
Pli_1,Pliening,706664.31,5341628819,14.06.2022,1,K,gn,1.4,61,1,40,0.5,NA,51,nein,Weide,G211,G11,mgM,2.5,1,1,39.9,7.59,2.5,0.8,1.5,0,0,1,0,0,0,0,0,0,0,.1,.1,2,1-,3,.1,,2,1-,3,.1,,.4,.4,1-
Pli_2,Pliening,707668.53,5343194565,14.06.2022,1,K,gn,1,37,1,12.5,0.5,NA,48,nein,Roggen,A11,A11,S,15.3,2,1,38.1,7.71,0.2,2,2.3,0,0,0,0,0,0,0,0,0,0,,,,.1,.1,.1,,,,.1,,,,,0
Pli_3,Pliening,706166.90,5343368845,06.08.2022,4,K,gn,1.5,103,2,12.5,0.5,NA,38,nein,Gerste,A11,G211,mgM,12.7,2,2,59.5,7.51,2.3,2.4,1.7,0,0,0,0,0,0,0,0,0,0,,,.1,,.1,,,,,0,,,.1,,.1
Pli_4,Pliening,705679.19,5340750532,18.07.2022,3,K,gn,1.2,405,1,12.5,0.5,NA,51,nein,Mais,A11,A11,mgM,3.2,1,1,49.2,7.49,0.4,0.4,0.3,0,0,0,0,0,0,0,0,0,0,,,,,0,.1,,.1,,.1,,,,.1,.1
Umen_1,Untermenzing,681201.55,5339007073,06.07.2022,2,K,gn,1,191,1,7.5,2,NA,40,nein,Mais,A11,K122,S,19.9,2,2,7.4,7.78,2.8,1.7,1.6,0,0,0,0,0,0,0,0, ,0,,.4,,,.4,,.1,.1,,.1,,,,,0
Umen_2,Untermenzing,684799.17,5340778806,10.06.2022,1,K,gn,1,160,0,30,0.5,NA,44,nein,K�rbis,A11,A11,G,14.5,2,2,12.1,0,0.8,1.2,833,0,0,0,0,0,0,0,0,0,0,,1-,,.1,1-,,2,.4,,2,,.2,.1,,.2
