name,layer,IN1,IN2,IN3,IN4,IN5,IN6,AC1,AC2,AC3,AC4,AC5,AC6,Extra1,Extra2,Extra3,Extra4
Cornus sanguinea,h,0,0,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5
Corydalis cava,h,0,0,0.5,0,0.5,0.5,0.5,0.5,0,0,2,0.5,0,0,0,0
Crataegus monogyna,h,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5
Dactylis glomerata,h,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Daphne mezereum,h,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Deschampsia cespitosa,h,0,0.5,0.5,4,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5
Dipsacus pilosus,h,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Dryopteris carthusiana,h,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Equisetum arvense,h,0.5,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5
Equisetum hyemale,h,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0.5,0
Eupatorium cannabinum,h,8.75,8.75,4,0.5,0.5,0.5,0,0.5,2,4,0.5,0.5,0.5,2,4,8.75
Fagus sylvatica,h,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Festuca gigantea,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Filipendula ulmaria,h,2,0.5,2,0.5,0.5,2,0,0,0.5,0,0,0.5,0.5,0.5,0,2
Fraxinus excelsior,h,0.5,0.5,0.5,0.5,0.5,2,2,0.5,0.5,0.5,0,0.5,0,0,0,0.5
Galium aparine,h,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0
Galium mollugo agg,h,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0,0.5
Geranium phaeum,h,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
Geranium robertianum,h,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5
Geum urbanum,h,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0
Glechoma hederacea,h,0,0,0,0,0,0.5,0.5,0,0,0.5,2,0,0.5,0,0,0.5
Gymnadenia odoratissima,h,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
Holcus lanatus,h,0,0,0.5,0.5,2,2,8.75,8.75,18.75,8.75,2,4,0,0,0,0
Holcus mollis,h,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Humulus lupulus,h,0,0,0,0,0,0,2,4,4,8.75,0,0,0,0,0,0
Hypericum hirsutum,h,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0
Hypericum montanum,h,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5
Hypericum tetrapterum,h,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5
Impatiens glandulifera,h,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5
Impatiens noli-tangere,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Knautia dipsacifolia,h,0,0,0.5,2,0.5,0,0,0,0,0,0,0,0,0,0,0
Lamium maculatum,h,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0.5,0
Lathyrus pratensis,h,0,0.5,0,0,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0
Leucanthemum vulgare,h,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
Ligustrum vulgare,h,0,0,0,0,0,0.5,0,2,0,0,0,0,0,0,0.5,0.5
Lonicera xylosteum,h,0.5,0.5,2,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0,0.5
Lycopus europaeus,h,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lysimachia vulgaris,h,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
Melica nutans,h,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0
Mentha aquatica,h,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5
Mentha aquatica x spicata,h,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
Mercurialis perennis,h,8.75,4,4,2,37.5,37.5,4,18.75,18.75,4,0,18.75,2,2,8.75,0.5
Molinia arundinacea,h,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Molinia caerulea,h,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
Myosotis scorpioides,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Neottia ovata,h,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
Petasites hybridus,h,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Phalaris arundinacea,h,0.5,4,0.5,8.75,0.5,8.75,0.5,0,0.5,0.5,2,0,0.5,2,0,0
Phragmites australis,h,0,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
Picea abies,h,0,0,0.5,0.5,0,0.5,0.5,0,0.5,2,0,0,0.5,0,0,4
Pimpinella major,h,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
Pleurospermum austriacum,h,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poa compressa,h,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
Poa palustris,h,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0
Potentilla neumanniana,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Primula elatior,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Prunella vulgaris,h,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
Prunus padus,h,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0
Pulmonaria officinalis,h,0,0.5,2,0,2,0.5,0,2,2,0,0.5,0,0,0,0.5,0
Quercus robur,h,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0
Ranunculus repens,h,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
Rosa canina,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Rubus caesius,h,8.75,8.75,8.75,4,4,37.5,18.75,18.75,37.5,37.5,62.5,18.75,37.5,37.5,87.5,18.75
Rubus idaeus,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Salix alba,h,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
Salix eleagnos,h,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
Salvia glutinosa,h,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Scirpus sylvaticus,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Scrophularia nodosa,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Scutellaria galericulata,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Senecio ovatus,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5
Solidago gigantea,h,0,0,0,0,0,0,0.5,2,0,2,8.75,2,87.5,37.5,0.5,18.75
Stachys sylvatica,h,0.5,0,0.5,0.5,2,2,0.5,2,0.5,4,2,0.5,2,2,8.75,0
Symphytum officinale,h,0,2,0,0,0,2,0,0,0,0,0,0.5,0,0,0,0
Thalictrum aquilegiifolium,h,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0
Ulmus glabra,h,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5
Urtica dioica,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5
Valeriana dioica,h,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5
Valeriana excelsa subsp excelsa,h,0,0.5,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5
Valeriana officinalis,h,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Viburnum lantana,h,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0.5,0,0.5,0,0
Vicia cracca sstr,h,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
Vinca minor,h,0,0,0,0,0.5,0,8.75,0.5,0,2,0,0,0,0,0,0
Viola odorata,h,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5
Carex SU3,h,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
