name,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,sociology
Securigera varia,http://www.worldfloraonline.org/taxon/wfo-0000186576,Coronilla_varia,Fabaceae,legume,NA,NA,NA,no,6110
Sedum acre,http://www.worldfloraonline.org/taxon/wfo-0000437124,na,Crassulaceae,herb,NA,NA,NA,no,5200
Sedum sexangulare,http://www.worldfloraonline.org/taxon/wfo-0000437960,na,Crassulaceae,herb,NA,NA,NA,no,5200
Setaria viridis,http://www.worldfloraonline.org/taxon/wfo-0000899679,na,Poaceae,sub-grass,NA,NA,NA,no,3300
Silaum silaus,http://www.worldfloraonline.org/taxon/wfo-0000434202,na,Apiaceae,herb,NA,V,NA,no,5410
Silene dioica,http://www.worldfloraonline.org/taxon/wfo-0000440478,na,Caryophyllaceae,herb,NA,NA,NA,no,NA
Silene flos-cuculi,http://www.worldfloraonline.org/taxon/wfo-0000438691,Lychnis_flos-cuculi,Caryophyllaceae,herb,NA,NA,NA,no,5410
Silene gallica,http://www.worldfloraonline.org/taxon/wfo-0000440573,na,Caryophyllaceae,herb,NA,1,NA,no,3400
Silene latifolia ssp alba,http://www.worldfloraonline.org/taxon/wfo-0000440845,na,Caryophyllaceae,herb,NA,NA,NA,no,3000
Silene vulgaris,http://www.worldfloraonline.org/taxon/wfo-0000440200,na,Caryophyllaceae,herb,NA,NA,NA,no,NA
Sisymbrium officinale,http://www.worldfloraonline.org/taxon/wfo-0000432010,na,Brassicaceae,herb,NA,NA,NA,no,3331
Solidago canadensis,http://www.worldfloraonline.org/taxon/wfo-0000060775,na,Asteraceae,herb,NA,NA,NA,yes,3500
Solidago gigantea,http://www.worldfloraonline.org/taxon/wfo-0000130517,na,Asteraceae,herb,NA,NA,NA,yes,3500
Sonchus arvensis,http://www.worldfloraonline.org/taxon/wfo-0000092611,na,Asteraceae,herb,NA,NA,NA,no,3310
Sonchus asper,http://www.worldfloraonline.org/taxon/wfo-0000031264,na,Asteraceae,herb,NA,NA,NA,no,3310
Stachys officinalis,http://www.worldfloraonline.org/taxon/wfo-0000314333,Betonica_officinalis,Lamiaceae,herb,NA,V,NA,no,5411
Stachys palustris,http://www.worldfloraonline.org/taxon/wfo-0000314357,na,Lamiaceae,herb,NA,NA,NA,no,5412
Stellaria graminea,http://www.worldfloraonline.org/taxon/wfo-0000436380,na,Caryophyllaceae,herb,NA,NA,NA,no,NA
Symphytum officinale,http://www.worldfloraonline.org/taxon/wfo-0000432219,na,Boraginaceae,herb,NA,NA,NA,no,NA
Tanacetum vulgare,http://www.worldfloraonline.org/taxon/wfo-0000114512,na,Asteraceae,herb,NA,NA,NA,no,3542
Taraxacum campylodes,http://www.worldfloraonline.org/taxon/wfo-0000093449,Taraxacum_officinale,Asteraceae,herb,NA,NA,NA,no,NA
Thalictrum minus,http://www.worldfloraonline.org/taxon/wfo-0000453930,na,Ranunculaceae,herb,NA,V,G,no,6112
Thymus pulegioides,http://www.worldfloraonline.org/taxon/wfo-0000324607,na,Lamiaceae,herb,NA,NA,NA,no,5000
Tragopogon pratensis,http://www.worldfloraonline.org/taxon/wfo-0000080363,na,Asteraceae,herb,NA,NA,NA,no,5420
Trifolium arvense,http://www.worldfloraonline.org/taxon/wfo-0000212967,NA,Fabaceae,legume,NA,NA,NA,no,0
Trifolium campestre,http://www.worldfloraonline.org/taxon/wfo-0000212979,na,Fabaceae,legume,NA,NA,NA,no,5200
Trifolium dubium,http://www.worldfloraonline.org/taxon/wfo-0000212995,na,Fabaceae,legume,NA,NA,NA,no,5421
Trifolium hybridum,http://www.worldfloraonline.org/taxon/wfo-0000213009,na,Fabaceae,legume,NA,NA,NA,yes,3811
Trifolium medium,http://www.worldfloraonline.org/taxon/wfo-0000213979,na,Fabaceae,legume,NA,NA,NA,no,6111
Trifolium montanum,http://www.worldfloraonline.org/taxon/wfo-0000213031,na,Fabaceae,legume,NA,V,NA,no,5300
Trifolium pratense,http://www.worldfloraonline.org/taxon/wfo-0000213053,na,Fabaceae,legume,NA,NA,NA,no,5400
Trifolium repens,http://www.worldfloraonline.org/taxon/wfo-0000213062,na,Fabaceae,legume,NA,NA,NA,no,5423
Tripleurospermum maritimum,http://www.worldfloraonline.org/taxon/wfo-0000063085,na,Asteraceae,herb,NA,NA,NA,no,2810
Trisetum flavescens,http://www.worldfloraonline.org/taxon/wfo-0000905119,na,Poaceae,top-grass,NA,NA,NA,no,5420
Tussilago farfara,http://www.worldfloraonline.org/taxon/wfo-0000117140,na,Asteraceae,herb,NA,NA,NA,no,3000
Urtica dioica,http://www.worldfloraonline.org/taxon/wfo-0000416616,na,Urticaceae,herb,NA,NA,NA,no,3500
Valeriana officinalis,http://www.worldfloraonline.org/taxon/wfo-0000426953,na,Caprifoliaceae,herb,NA,NA,NA,no,5410
Verbascum blattaria,http://www.worldfloraonline.org/taxon/wfo-0000420104,na,Scrophulariaceae,herb,NA,3,3,no,3540
Verbascum lychnitis,http://www.worldfloraonline.org/taxon/wfo-0000420406,na,Scrophulariaceae,herb,NA,NA,NA,no,6100
Verbascum nigrum,http://www.worldfloraonline.org/taxon/wfo-0000420517,na,Scrophulariaceae,herb,NA,NA,NA,no,6212
Verbascum thapsus,http://www.worldfloraonline.org/taxon/wfo-0000419130,na,Scrophulariaceae,herb,NA,NA,NA,no,6210
Verbena officinalis,http://www.worldfloraonline.org/taxon/wfo-0000332143,na,Verbenaceae,herb,NA,NA,NA,no,3300
Veronica arvensis,http://www.worldfloraonline.org/taxon/wfo-0000419753,na,Plantaginaceae,herb,NA,NA,NA,no,5200
Veronica chamaedrys,http://www.worldfloraonline.org/taxon/wfo-0000419437,na,Plantaginaceae,herb,NA,NA,NA,no,NA
Veronica persica,http://www.worldfloraonline.org/taxon/wfo-0000425859,na,Plantaginaceae,herb,NA,NA,NA,yes,3310
Vicia cracca,http://www.worldfloraonline.org/taxon/wfo-0000214046,na,Fabaceae,legume,NA,NA,NA,no,5400
Vicia villosa ssp varia,http://www.worldfloraonline.org/taxon/wfo-0000212809,Vicia_villosa_ssp_dasycarpa,Fabaceae,legume,NA,NA,NA,yes,0
Vicia villosa,http://www.worldfloraonline.org/taxon/wfo-0000212804,Vicia_glabrescens,Fabaceae,legume,NA,NA,NA,yes,3421
Vicia hirsuta,http://www.worldfloraonline.org/taxon/wfo-0000212743,na,Fabaceae,legume,NA,NA,NA,no,3400
Vicia sativa ssp nigra,http://www.worldfloraonline.org/taxon/wfo-0000212782,Vicia_angustifolia,Fabaceae,legume,NA,NA,NA,no,NA
Vicia sepium,http://www.worldfloraonline.org/taxon/wfo-0000212792,na,Fabaceae,legume,NA,NA,NA,no,NA
Vicia tetrasperma,http://www.worldfloraonline.org/taxon/wfo-0000212802,na,Fabaceae,legume,NA,NA,NA,no,3400
Viola hirta,http://www.worldfloraonline.org/taxon/wfo-0000423911,NA,Violaceae,herb,NA,NA,NA,no,0
Viola odorata,http://www.worldfloraonline.org/taxon/wfo-0000423364,NA,Violaceae,herb,NA,NA,NA,no,0
