name,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,sociology
Campanula trachelium,http://www.worldfloraonline.org/taxon/wfo-0000829176,na,Campanulaceae,herb,NA,NA,NA,no,8430
Capsella bursa-pastoris,http://www.worldfloraonline.org/taxon/wfo-0000585589,na,Brassicaceae,herb,NA,NA,NA,no,3300
Carduus acanthoides,http://www.worldfloraonline.org/taxon/wfo-0000114356,na,Asteraceae,herb,NA,NA,NA,no,3540
Carex acutiformis,http://www.worldfloraonline.org/taxon/wfo-0000344201,na,Cyperaceae,sedge,NA,NA,NA,no,NA
Carex caryophyllea,http://www.worldfloraonline.org/taxon/wfo-0000345352,na,Cyperaceae,sedge,NA,V,NA,no,5320
Carex digitata,http://www.worldfloraonline.org/taxon/wfo-0000346034,na,Cyperaceae,sedge,NA,NA,NA,no,8400
Carex flacca,http://www.worldfloraonline.org/taxon/wfo-0000346645,na,Cyperaceae,sedge,NA,NA,NA,no,NA
Carex hirta,http://www.worldfloraonline.org/taxon/wfo-0000347452,na,Cyperaceae,sedge,NA,NA,NA,no,3810
Carex montana,http://www.worldfloraonline.org/taxon/wfo-0000348977,na,Cyperaceae,sedge,NA,NA,NA,no,NA
Carex muricata,http://www.worldfloraonline.org/taxon/wfo-0000349075,na,Cyperaceae,sedge,NA,NA,NA,no,6210
Carex panicea,http://www.worldfloraonline.org/taxon/wfo-0000349728,na,Cyperaceae,sedge,NA,V,NA,no,1700
Carex praecox ssp curvata,http://www.worldfloraonline.org/taxon/wfo-0000350214,Carex_curvata,Cyperaceae,sedge,NA,D,3,no,3611
Carex praecox ssp praecox,http://www.worldfloraonline.org/taxon/wfo-0000350207,Carex_praecox,Cyperaceae,sedge,NA,V,3,no,3611
Carex sylvatica,http://www.worldfloraonline.org/taxon/wfo-0000351795,na,Cyperaceae,sedge,NA,NA,NA,no,8430
Carum carvi,http://www.worldfloraonline.org/taxon/wfo-0000588460,na,Apiaceae,herb,NA,NA,NA,no,5420
Centaurea jacea,http://www.worldfloraonline.org/taxon/wfo-0000095537,na,Asteraceae,herb,NA,NA,NA,no,5000
Centaurea scabiosa,http://www.worldfloraonline.org/taxon/wfo-0000013986,na,Asteraceae,herb,NA,NA,NA,no,5300
Centaurea stoebe,http://www.worldfloraonline.org/taxon/wfo-0000021390,na,Asteraceae,herb,NA,NA,3,no,NA
Centaurium erythraea,http://www.worldfloraonline.org/taxon/wfo-0000593916,na,Gentianaceae,herb,BG,NA,NA,no,6210
Cerastium arvense,http://www.worldfloraonline.org/taxon/wfo-0000595158,na,Caryophyllaceae,herb,NA,NA,NA,no,NA
