species	1nograz.1	1nograz.2	1nograz.3	1nograz.4	1highgraz.1	1highgraz.2	1highgraz.3	1highgraz.4	1littlegraz.1	1littlegraz.2	1littlegraz.3	1littlegraz.4	2nograz.1	2nograz.2	2nograz.3	2nograz.4	2highgraz.1	2highgraz.2	2highgraz.3	2highgraz.4	2littlegraz.1	2littlegraz.2	2littlegraz.3	2littlegraz.4	3nograz.1	3nograz.2	3nograz.3	3nograz.4	3highgraz.1	3highgraz.2	3highgraz.3	3highgraz.4	3littlegraz.1	3littlegraz.2	3littlegraz.3	3littlegraz.4	4nograz.1	4nograz.2	4nograz.3	4nograz.4	4highgraz.1	4highgraz.2	4highgraz.3	4highgraz.4	4littlegraz.1	4littlegraz.2	4littlegraz.3	4littlegraz.4	5nograz.1	5nograz.2	5nograz.3	5nograz.4	5highgraz.1	5highgraz.2	5highgraz.3	5highgraz.4	5littlegraz.1	5littlegraz.2	5littlegraz.3	5littlegraz.4
Carddefl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	47	0	0	7	20	0	0	1	1	21	9	27	75	0	21	12	5	22	36
Carexsp	71	85	8	9	35	52	0	0	48	12	0	0	77	91	0	0	0	0	0	0	41	0	0	0	86	65	17	33	98	59	100	80	74	87	76	95	45	70	87	84	0	0	88	100	73	95	94	97	71	55	85	93	96	94	92	99	44	75	56	96
Carlacau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	78	63	81	50	3	0	0	11
Carlvulg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	78	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centlini	4	10	0	5	17	15	0	0	12	8	0	0	0	31	0	0	0	0	0	0	17	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cerapumi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Cistclus	0	0	6	44	0	0	0	0	5	0	19	25	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coromini	0	0	0	0	3	0	0	0	0	10	0	0	4	37	17	0	0	0	0	0	0	0	0	0	0	1	0	0	49	0	10	0	4	70	0	10	0	0	0	0	14	0	49	81	5	29	20	13	0	0	1	3	0	0	0	0	0	0	16	9
Cratmono	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	48	0	0	11	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Dactglom	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	18	43	10	6	44	30	21	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	8	76	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
Dianhyss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	28	0	0	0	0	0	45	30	0	0	16	29	2	48	38	3	1	8	0
Dorypent	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	2	4	0	0	49	7	8	9	0	28	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Echiritr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	7	72	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ephefrag	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erucnast	5	6	33	3	15	20	37	4	0	0	0	5	0	2	0	0	72	0	25	11	19	2	7	36	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erynbour	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	23	0	0	2	2	9	0
Eryncamp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	5	16	7	0	0	30	0	0	4	15	8	0	6	0	0	0	0	0	0	1	47	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Euphcypa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	0	0	0	39	37	32	5	87	25	33	97	70	12	18	16
Euphpara	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	65	2	0	29	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Euphserr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	2	5	80	0	0	0	0	0	6	0	6	11	0	0	24	16	0	0	0	0	0	0	0	0	0	0	0	0
Festgaut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	33	22	0	48	19	31	96	12	0	21	100	95	92	90	68	9	2	42	92	89	76	100
Festnigr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	21	95	0	0	0	90	0	19	0	0	0	52	97	97	96	96	0	0	23	35
Festovin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	37	0	0	2	0	0	0	27	72	38	67	0	0	13	6
Filapyra	0	0	0	0	0	0	20	33	0	0	0	4	0	0	0	0	30	9	9	27	25	61	16	6	0	0	0	0	0	0	0	4	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fumaeric	1	0	35	67	26	6	0	11	28	22	92	77	0	20	29	10	0	0	0	0	2	0	0	0	0	0	0	8	57	20	91	55	12	41	53	90	0	0	0	0	0	0	61	73	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0
Fumathym	0	0	0	0	0	26	6	54	0	0	0	0	0	9	54	72	0	0	10	30	0	5	51	36	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Galiluci	0	0	0	0	0	0	7	5	0	0	1	0	0	0	0	0	0	5	0	0	33	4	7	0	55	0	0	4	0	0	4	0	0	0	0	0	39	2	27	23	0	8	2	0	33	72	21	40	92	48	26	76	48	32	21	21	58	70	37	68
Galirotu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	21	26	0	17	0	0	59	21	6	17	98	41	4	14	0	0	0	0	20	73	14	3
Galiveru	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	9	0	5	0	18	0	0	7	0	0	0	28	84	98	97	17	31	41	0
Genibifl	0	0	8	10	0	0	5	0	0	0	0	48	0	0	0	0	0	0	0	5	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genihisp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	3	3	0	93	21	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geniscor	6	15	10	4	13	2	0	14	3	0	6	0	9	51	57	21	1	0	0	10	27	79	44	2	0	11	4	8	1	52	10	40	15	52	62	39	0	5	1	2	0	0	82	98	0	0	95	70	0	0	0	0	0	0	0	0	0	0	0	0
Globalyp	3	7	84	92	7	1	10	3	66	35	79	99	0	0	68	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Globcord	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	39	0	0	0	0	0	0	0	0	0	0	84	100	0	0	0	0
Globvulg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	5	3	67	5	61	0	0	0	0	0	0	79	78	0	75	82	43	0	0	2	0	9	90	0	42	11	15	29	12
Heliapen	0	0	29	83	6	0	63	83	0	4	82	87	2	7	36	14	0	0	0	0	2	65	32	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	47	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0
Helicanu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	70	21	16	38	56	71	0	0	0	0	0	0	0	70	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
Helioela	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	2	69	0	40	12	26	3	40	85	46	98	27	0	30	28
