species	1nograz.1	1nograz.2	1nograz.3	1nograz.4	1highgraz.1	1highgraz.2	1highgraz.3	1highgraz.4	1littlegraz.1	1littlegraz.2	1littlegraz.3	1littlegraz.4	2nograz.1	2nograz.2	2nograz.3	2nograz.4	2highgraz.1	2highgraz.2	2highgraz.3	2highgraz.4	2littlegraz.1	2littlegraz.2	2littlegraz.3	2littlegraz.4	3nograz.1	3nograz.2	3nograz.3	3nograz.4	3highgraz.1	3highgraz.2	3highgraz.3	3highgraz.4	3littlegraz.1	3littlegraz.2	3littlegraz.3	3littlegraz.4	4nograz.1	4nograz.2	4nograz.3	4nograz.4	4highgraz.1	4highgraz.2	4highgraz.3	4highgraz.4	4littlegraz.1	4littlegraz.2	4littlegraz.3	4littlegraz.4	5nograz.1	5nograz.2	5nograz.3	5nograz.4	5highgraz.1	5highgraz.2	5highgraz.3	5highgraz.4	5littlegraz.1	5littlegraz.2	5littlegraz.3	5littlegraz.4
Lygespar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	1	0	0	25	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marrvulg	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medimini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	53	1	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moriarve	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	70	0	99	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Onobsupi	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	73	89	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0
Ononpusi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	10	17	21	3	0	18	15	0	0	1	0	5	0	0	100	0	4	14	0	0	54	20	0	0	0	0	0	0	0	0	0	0	1	0
Osyralba	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Philangu	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pinuhale	82	81	22	21	75	90	0	0	100	99	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pinumugo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	96	100	87	15	31	0	0	96	98	71	88
Pinusylv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	99	0	2	16	6	0	0	100	99	17	0	0	0	0	0	0	0	0	0	0	0	0	0
Pistlent	11	6	21	22	7	5	10	0	18	9	0	2	0	3	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Planalbi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	79	100	55	19	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Planarge	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Planlanc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	11	0	2	0	49	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Planmedi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	11	0	0	0	0	0	0	8	57	0	0	0	0	0	0	90	54	89	38	3	23	1	0
Poaannu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	23	14	0	0	73	0	0	0	7	0	0	1
Polycalc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	43	0	1	0	0	9	22	0	0	8	28	0	2	68	47	15	13	0	0	32	18	70	18	0	0	38	34	52	76
Polyrupe	0	4	12	27	38	15	9	0	54	32	10	15	0	4	11	27	0	0	0	0	31	12	3	2	2	0	14	10	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poteneum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0	0	0	0	0	6	52	0	15	0	0	0	0	14	0	0	0	0	0	0	0	12	0	21	31	80	88	92	96	23	27	53	20
Prungran	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	3	16	0	0
Prunlaci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Quercerr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	65	0	0	11	1	2	0	0	90	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Quercocc	77	98	14	15	28	58	0	0	37	48	0	0	78	68	34	11	0	0	0	0	70	7	0	0	16	19	23	70	27	21	9	43	74	0	32	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Querhumi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	100	98	0	0	0	0	11	1	22	52	0	0	0	0	0	0	0	0	0	0	0	0
Querilex	0	0	0	0	0	0	0	0	0	0	0	0	47	6	0	0	0	0	0	0	0	0	0	0	94	82	99	42	44	12	3	29	10	10	13	26	0	16	54	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ranubulb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	36	22	55	36	59	46	14	34	24	35	11	1
Rhamalat	12	8	0	0	0	0	0	0	0	0	0	0	27	43	0	0	0	0	0	0	13	4	0	0	0	2	73	59	0	0	0	16	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhamlyci	16	15	17	5	11	12	0	0	16	20	1	0	17	14	4	0	0	0	0	0	23	18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rosacani	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	20	0	0	0	0	0	0	0	1	0	0	88	55	30	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rosmoffi	51	29	68	91	17	8	83	71	75	45	94	80	0	0	38	77	0	0	0	63	56	0	96	90	0	0	0	35	0	0	80	85	0	0	57	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rubipere	14	18	0	0	0	3	0	0	10	1	0	0	65	36	14	0	0	0	0	0	34	0	0	0	89	96	38	46	27	4	11	38	9	12	3	3	73	0	69	41	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Sangmino	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	1	0	0	43	0	0	7	1	4	0	0	0	5	0	0	90	79	0	14	0	36	0	0	0	0	0	0	0	4	1	0	0	1	0	0
Satumont	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	6	10	0	0	1	31	0	0	0	0	0	0	11	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sedusedi	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	15	12	0	1	2	0	57	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	37	50	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
Sesemont	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	39	0	0	0	21	0	15	0	0	0	0	35	36	1	8	19	1	0	0
Sidehyss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	12	9	39	37	97	20	19	10	24
Soncssp	0	0	0	0	0	0	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	12	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staedubi	3	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	5	0	0	0	1	0	0	4	0	0	41	34	0	0	34	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stipparv	0	1	37	77	0	0	64	97	3	0	86	92	0	0	70	4	0	0	78	0	0	0	0	0	0	0	0	0	0	0	47	0	6	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taradiss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	20	0	0	0	0	0	0	8	0	47	17	0	0	0	0	0	16	14	19
Teuccham	14	52	0	0	0	15	0	0	0	0	0	0	77	59	0	0	0	0	0	0	8	0	0	0	29	0	18	17	0	34	0	26	30	0	1	0	0	0	22	20	0	0	31	0	0	0	78	78	0	0	12	1	0	0	0	0	0	0	0	0
Teucpoli	0	1	0	6	3	3	29	27	1	0	1	2	0	0	0	0	6	0	0	0	2	77	0	0	0	0	0	0	9	0	6	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Teucpyre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	24	28	0	0	68	65	30	0	75	52	0	0	25	61	0	0	4	0	0	0	27	92
Thympule	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	75	81	0	0	11	86	0	0	0	45	5	9	0	37	0	71	0	31	31	0
Thymserp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	14	65	45	32	58	96	63	31	0	3	44
Thymtinc	0	0	0	0	4	0	0	0	23	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thymvulg	0	2	0	0	46	0	0	52	0	0	0	3	7	62	62	75	2	0	23	16	40	89	70	10	48	4	8	36	81	38	55	71	91	86	78	48	0	0	8	5	0	0	55	97	0	0	84	20	0	0	0	0	0	0	0	0	0	0	0	0
Trifprat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	3	0	0	2	0	0	0	91	76	1	0	2	2	0	0
Vicipyre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	11	0	1
Violwill	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	1	0	81	60	31	31	8	22	0	0	59	91	51	33	0	85	2	0	36	0	0	0	0	0	0	0
