species	GrowhtForm	LEG	SLA	LF_Th	LF_G	LF_H	LF_hCh	LF_wCh	LF_NP	LF_P
Querilex	shrub	0	4.8	0	0	0	0	0	0	1
Ranubulb	forb	0	20.6	0	0.5	0.5	0	0	0	0
Rhamalat	shrub	0	10.2	0	0	0	0	0.5	0.5	0
Rhamlyci	shrub	0	8.1	0	0	0	0	0	0.5	0.5
Rosacani	shrub	0	11.4	0	0	0	0	0	0	1
Rosmoffi	shrub	0	5.7	0	0	0	0	0	1	0
Rubipere	subshrub	0	16.4	0	0	0	0	0	0	1
Sangmino	forb	0	11.5	0	0	1	0	0	0	0
Satumont	subshrub	0	19.4	0	0	0	1	0	0	0
Sedusedi	subshrub	0	9.4	0	0	0	0	1	0	0
Sesemont	forb	0	14.8	0	0	1	0	0	0	0
Sidehyss	subshrub	0	13.7	0	0	0	0	1	0	0
Soncssp	forb	0	23.4	0.5	0	0.5	0	0	0	0
Staedubi	subshrub	0	9.1	0	0	0	0	1	0	0
Stipparv	grass	0	4.5	0	0	1	0	0	0	0
Taradiss	forb	0	21	0	0	1	0	0	0	0
Teuccham	subshrub	0	14.7	0	0	0	0	1	0	0
Teucpoli	subshrub	0	12.9	0	0	0	0	1	0	0
Teucpyre	forb	0	13.7	0	0	0.5	0	0.5	0	0
Thympule	subshrub	0	16.9	0	0	0	0	1	0	0
Thymserp	subshrub	0	13.9	0	0	0	0	1	0	0
Thymtinc	subshrub	0	6.5	0	0	0	0	0	1	0
Thymvulg	subshrub	0	9.1	0	0	0	0	1	0	0
Trifprat	forb	1	20.5	0	0	1	0	0	0	0
Vicipyre	forb	1	23.1	0	0	1	0	0	0	0
Violwill	forb	0	20.7	0	0	1	0	0	0	0
