species	veget	PH	TLA	SM	SLA	SLS	LH	P	LS	CGO	BB.D	BB.S
Hippuris_vulgaris	4	0.2275	45.5	0.746	32.54333333	1	NA	2	0.13	0.5	4.75	20
Hylotelephium_telephium_agg.	3	0.425	1176.75	NA	17.2	1	pc	4	0.005	1	4.75	20
Hypericum_maculatum	4	0.39925	731	0.0405	24.9825	1	pc	4	0.1975	6	4.75	20
Hypericum_perforatum	4	0.359166667	147.3333333	0.0974	26.06370687	1	pc	4	0.093076923	1.714285715	8.218844985	41.125
Inula_britannica	5	0.35	2575	0.0825	27.43476726	2	NA	2.666666666	0.265	3.5	9.142857142	35.00000001
Inula_oculus-christi	4	0.3	NA	NA	NA	NA	pnc	NA	NA	NA	NA	NA
Inula_salicina	5	0.5	700.5	0.0975	26.63	1	pc	4	0.13	2.666666665	4.75	20
Iris_graminea	4	0.2275	NA	22.8228	NA	2	pc	4	0.03	2.9	4.947368421	19
Iris_pseudacorus	4	0.75	20873.75	46.3484	38.5525	2	pc	4	0.088333333	2.666666665	4.75	20
Knautia_arvensis_agg.	3	0.431666667	2871.333333	2.71825	19.70591065	2	pnc	NA	NA	NA	8.869565218	38.33333333
Knautia_dipsacifolia	2	0.4	NA	5.13	22.7	1	pnc	NA	NA	NA	4.75	20
Lathyrus_latifolius	1	2	7017	36.634	18.7	1	pnc	NA	NA	NA	4.125	13.33333333
Lathyrus_pisiformis	1	0.75	NA	NA	NA	1	pc	4	0.005	1	4.75	20
Lathyrus_pratensis	5	0.568333333	158.3333333	9.149066667	25.41605853	1	pc	3.8	0.211	3.77777778	4.59375	17.77777778
Leontodon_autumnalis	3	0.068333333	300.03	0.599833334	25.90522361	NA	pc	3	0.005	1	4.571428571	17.5
Leontodon_hispidus	3	0.2375	2280.666667	0.975	25.81989327	2	pc	3.142857142	0.022857143	1	4.653846154	18.57142857
Lepidium_campestre	1	0.29125	416.5	2.502	25.35	1	pnc	NA	NA	NA	2.666666667	7.5
