plot_id,StauAbs,Flutung,AbsGer,HoehGer,BFmittel,WHH,BOMmitt,GWMin,GWMax,GWSpann,UeFzArtan,WWzArtan,UeFzDeck,WWzDeck,Bkum,Vegtyp,BAUM,VAR
A82,2698.32,2,40.8,2.68,28.26,6,175,2.87,1.98,0.89,4.88,7.32,7.32,5.49,66,4,2,2
A83,3242.72,2,50.5,2.59,26.04,6,115,3.1,2.27,0.83,4.17,8.33,1.42,2.84,70,3,2,2
A84,1906.5,2,63.3,3.06,22.77,6,115,3.5,2.44,1.06,2.08,4.17,0.6,1.2,79,2,1,1
A85,3706.14,1,21.2,1.02,27.98,9,115,0.41,-0.34,0.75,14.29,14.29,4.57,48,41.5,15,3,6
A86,3727.03,1,13.7,0.64,30.83,10,55,0.38,-0.37,0.76,3.45,10.34,0.86,36.21,77.5,13,3,4
A87,3697.08,1,17.3,0.83,30.57,9,115,0.42,-0.33,0.75,21.88,15.63,6.13,51.53,43.75,15,3,6
A88,3499.15,1,319,0.99,36.94,10,85,1.31,0.56,0.76,12,28,6.87,50.38,40.5,17,4,7
A89,4568.23,1,70.1,0.06,28.48,8,145,0.85,0.26,0.6,12.9,12.9,4.58,30.07,84.25,15,3,6
A9,758.08,1,358.1,1.73,23.57,3,55,1.42,0.87,0.55,4.76,11.9,1.28,15.38,76,7,3,2
A90,4421.22,1,95.5,0.88,32.53,9,115,0.75,0.09,0.66,12.9,19.35,2.84,59.57,49,16,3,6
A91,4595.24,1,16.2,1.92,24.72,8,220,1.81,1.21,0.6,3.33,3.33,3.77,0.94,54.5,2,1,1
A92,3678.33,1,21.6,1.18,27.19,9,115,0.42,-0.34,0.75,12.82,10.26,4.79,25.75,41.5,15,3,6
A93,3782.93,1,16.2,1.33,27.57,8,85,0.43,-0.32,0.75,3.33,13.33,0.83,19.17,52,15,3,6
A94,3510.64,1,283.9,1.24,24.15,4,55,1.34,0.57,0.76,12,8,5.95,12.5,33.5,13,3,4
A95,4543.11,1,126.1,1.03,24.07,4,55,1.83,1.22,0.61,5.41,5.41,1.47,1.47,70,11,2,4
A96,4462.49,1,92.5,1.57,26.47,4,55,0.75,0.11,0.64,6.67,13.33,1.38,15.86,52,15,3,6
A97,3662.14,2,251.5,0.54,32.1,9,100,0.23,-0.55,0.79,22.22,22.22,15.75,25.2,75.5,17,4,7
A98,3681.34,2,338.4,0.58,39.12,9,100,0.21,-0.57,0.78,28.57,19.05,33.69,7.49,61.5,17,4,7
A99,3676.31,2,367.1,0.5,47.75,9,100,0.2,-0.58,0.78,30,20,69.74,4.61,33.5,18,4,7
