name,8,13,14,23,26,34,38,39,47,49,50,51,52,54,57,67,68,71,73,74,83,89,92,94,96,105,109,110,115,120,123,133,137,139,144,149,156,157,161,162,169,182,183,194,198,201,223,231,237,244,247,254,262,266,269,270,281,291,305,314,315,317,324,325,333,340,341,343,346,356,359,373,377,378,389,393,395,397
Corylus avellana,0.5,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
Crepis paludosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,3,0.5,0,0,3,0.5,0,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,3
Daphne mezereum,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0
Deschampsia cespitosa,0,0,0.5,0,0,0.5,0.5,0,3,0,0.5,0,0,0.5,0,0,0,0,0,0,3,3,0.5,0,3,0,0,0.5,0,0,10,0.5,0,3,0.5,0,0.5,10,0,0,0.5,0,0.5,0,0.5,0.5,0.5,10,3,0,0,0,3,0.5,10,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0,10,0,3,0,0,0
Dryopteris dilatata,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0,0.5,0,0.5,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,3,0,3,3,10,0.5,0,10,0.5,0.5,0,0,0,3,0,0.5,0.5,3,0.5,10,0,0.5,0.5,10,3,10,0,0,0,0,0,0.5,0,0,3,0,0.5,0,0
Dryopteris filix-mas,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,3,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0.5,10,0,0,0,0,0,0,0.5,0,0,3,0,0.5,0,0
Epilobium montanum,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0
Epipactis atrorubens,3,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0
Epipactis helleborine,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0
Fagus sylvatica,0,0.5,0.5,0,0.5,0.5,10,3,0.5,0.5,3,0.5,0.5,3,0.5,0.5,0.5,0.5,0.5,3,0.5,0,0.5,0.5,0,0,0,0.5,0.5,3,0,0,0.5,3,0,0.5,3,3,0.5,0.5,3,3,10,0.5,3,0.5,0,0.5,0.5,0,0.5,3,0.5,37.5,0.5,0,0.5,0,3,0,0,0.5,3,10,0,0.5,0.5,3,0.5,3,0,0.5,0,10,0,10,0.5,0.5
Fragaria vesca,0,0.5,0.5,3,0,0.5,0.5,0.5,3,0.5,0.5,0.5,3,0.5,0,3,0,0.5,0,3,0.5,0.5,3,0,3,3,0.5,0.5,0.5,0.5,3,0.5,0.5,0.5,0,0.5,0.5,3,0,0,0,0.5,3,0,0.5,3,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5
Fraxinus excelsior,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,3,10,3,0,0.5,0,0,0,0,0,3,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,3,0.5,0.5,3,0,0.5,0,3,0,0
Galium mollugo album,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,3,0,0.5,0.5,0,0.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0
Galium pusillum anisophyllum,0.5,3,0.5,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5
Galium odoratum,0,0,0,0,0,0,3,0,0,3,3,0,3,3,0.5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0.5,0,0,3,0,0,3,3,0.5,0.5,0,0.5,0.5,0.5,0.5,3,3,0,0,0.5,0,0,3,0.5,10,0,0,0,0.5,0,0,0,10,0,0,0,0.5,0,0.5,0,0,0.5,3,0,0,0,0,0,0
Galium rotundifolium,0,0,0,0.5,0,0,3,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,3,0.5,0,10,0,0.5,0.5,0,0,0,0.5,3,0.5,0.5,0,0,0,0,0.5,0.5,3,0.5,0.5,3,0.5,0.5,0.5,10,0,0,0.5,0.5,0.5,0.5,3,3,0.5,0.5,0.5,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,3,0,0.5,0,0,0,0,0.5
Geranium robertianum,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,3,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Gymnocarpium dryopteris,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,3,0,0,0,0.5,0,3,0.5,0.5,0,3,0,3,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,3,10,0,0.5,0,0,0.5,0,0,0,0,3,0.5,10,0,0.5,3,0,3,0,0,0,0,0,0,0.5,0,0,0,0,0,3,3
Hepatica nobilis,3,3,0.5,3,0.5,0.5,3,3,0,0,0,0.5,3,0,0.5,0.5,0,0,0,3,0,0,3,0.5,0,3,0,0,0,0,0,0,0,0.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,10,3,3,0,3,0,0,0.5,0.5,0.5,0
Hieracium bifidum,3,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,0,0,0
Hieracium sylvaticum,0,0.5,0.5,0.5,3,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,3,0.5,3,0.5,0.5,0,3,0,0,0,3,0.5,3,3,0.5,3,3,3,0.5,0.5,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5
