"sla" "height" "sm" "log_sla" "log_height" "log_sm"
"Equisetum fluviatile" 9.45 1 NA 2.24601474150565 0 NA
"Blysmus rufus" 9.49 0.14 1.1668 2.25023861262184 -1.96611285637283 0.154264959011429
"Salix purpurea" 9.496676163 2.166666667 0.09 2.25094185980611 0.773189888387328 -2.40794560865187
"Trichophorum alpinum" 9.51 0.145 0.203 2.2523438765573 -1.93102153656156 -1.59454929994035
"Salix reticulata" 9.606687696 0.0825 0.1525 2.26245949093626 -2.4949569856415 -1.88059068293467
"Salix fragilis" 9.610710776 10.66666667 0.117 2.26287818236993 2.36712361444412 -2.14558134418438
"Salix bicolor" 9.637271914 1.05 NA 2.26563807209837 0.048790164169432 NA
"Peucedanum officinale" 9.725 0.9125 5.1385 2.27469988950451 -0.0915671935254905 1.63676120808299
"Empetrum hermaphroditum" 9.753 0.325 NA 2.27757492998988 -1.1239300966524 NA
"Scheuchzeria palustris" 9.775 0.15 6.920666667 2.27982810587143 -1.89711998488588 1.93451210415111
"Minuartia sedoides" 9.8 0.053333333 0.2715 2.28238238567653 -2.93119375866642 -1.30379313960815
"Gypsophila scorzonerifolia" 9.8 1 0.592 2.28238238567653 0 -0.524248644098131
"Pulsatilla vernalis" 9.82 0.06 NA 2.28442112236637 -2.81341071676004 NA
"Erica tetralix" 9.828 0.4375 0.012928889 2.28523545465893 -0.826678573184468 -4.34829101409734
"Juncus filiformis" 9.83 0.3 0.02694 2.28543893415908 -1.20397280432594 -3.61414310799992
"Scabiosa canescens" 9.84 0.2 1.199611111 2.28645571106416 -1.6094379124341 0.181997430103907
"Plantago maritima" 9.881428571 0.231666667 0.75095 2.29065709351381 -1.46245572064661 -0.286416207330547
"Elyna myosuroides" 9.9 0.2 NA 2.29253475714054 -1.6094379124341 NA
"Sorbus domestica" 9.9 11.5 30.35 2.29253475714054 2.4423470353692 3.41279651750551
"Quercus cerris" 9.9 35 3033.35 2.29253475714054 3.55534806148941 8.01742289832723
"Helictotrichon pratense" 9.996666667 0.65 2.68071875 2.30225170412615 -0.430782916092454 0.986084948864683
"Pulsatilla vulgaris" 10.0925 0.15 3.259618797 2.31179257374496 -1.89711998488588 1.18161025510579
"Larix decidua" 10.19247985 35 6.24 2.32165017876549 3.55534806148941 1.83098018238134
"Dryas octopetala" 10.20210094 0.028333333 0.739266667 2.32259367359019 -3.56371632292464 -0.302096574680234
"Butomus umbellatus" 10.21333333 0.8 0.1716 2.32369405587791 -0.22314355131421 -1.76258909192828
"Quercus pubescens" 10.23123201 11.5 NA 2.32544500379734 2.4423470353692 NA
"Veronica bellidioides" 10.25 0.065 NA 2.32727770558442 -2.7333680090865 NA
"Eleocharis palustris" 10.31 0.525 1.011866667 2.33311429802887 -0.644357016390513 0.0117968102089352
"Rosa agrestis" 10.322 1.333333333 18.7504 2.33427753972654 0.287682072201781 2.9312150855222
"Equisetum arvense" 10.35366337 0.325 NA 2.33734040587855 -1.1239300966524 NA
"Thymus vulgaris" 10.38 0.25 0.259333333 2.33988087773774 -1.38629436111989 -1.3496410447572
"Nardus stricta" 10.394 0.12 0.357236111 2.34122871658625 -2.12026353620009 -1.02935834046465
"Eriophorum angustifolium" 10.46428571 0.196666667 0.599692308 2.34796809843231 -1.62624502905557 -0.511338575303139
"Peucedanum cervaria" 10.56 0.375 4.994 2.35707327827812 -0.980829253011726 1.60823719185758
"Ledum palustre" 10.58844199 1.025 0.0185 2.35976302792123 0.0246926125903714 -3.98998454689786
"Rosa rugosa" 10.59519924 1.25 5.426 2.36040099664019 0.22314355131421 1.69120221423674
"Carex binervis" 10.6 NA 1.450270588 2.36085400111802 NA 0.371750151436346
"Eryngium maritimum" 10.61666667 0.308333333 24.7152 2.36242509366403 -1.1765738312189 3.20741843897785
"Salix daphnoides" 10.63829787 6.5 0.14 2.36446049649213 1.87180217690159 -1.96611285637283
"Petasites spurius" 10.665 0.2 NA 2.36696735192331 -1.6094379124341 NA
"Juncus atratus" 10.71 0.625 0.0135 2.37117788445966 -0.470003629245736 -4.30506559353775
"Carex buxbaumii" 10.74 NA 1.31 2.37397508908072 NA 0.27002713721306
"Limonium vulgare" 10.83333333 0.165 1.0691 2.38262780035989 -1.80180980508156 0.0668171730373171
"Erica cinerea" 10.875 0.4625 0.0595 2.38646657697475 -0.771108722029657 -2.82177896643055
"Sedum acre" 10.9 0.056666667 0.0384 2.3887627892351 -2.87056912471763 -3.25969781938846
"Asplenium trichomanes" 10.9 0.175 NA 2.3887627892351 -1.74296930505862 NA
"Blechnum spicant" 10.9 0.325 NA 2.3887627892351 -1.1239300966524 NA
"Geum reptans" 10.90265056 0.075 0.849666667 2.38900593031611 -2.59026716544583 -0.162911162881821
"Cotoneaster horizontalis" 10.91 0.7 10.185 2.38967979984498 -0.356674943938732 2.32091604967877
"Juncus effusus" 10.936 0.9 0.018607407 2.39206009942165 -0.105360515657826 -3.98419555172738
"Populus nigra" 10.94 25 0.8 2.39242579699384 3.2188758248682 -0.22314355131421
"Carlina acaulis" 10.955 0.31 4.083333333 2.39379597304743 -1.17118298150295 1.40691364824099
"Asparagus officinalis" 10.955 0.9 40.86336667 2.39379597304743 -0.105360515657826 3.71023398124725
"Carex davalliana" 10.97 0.125 0.778166667 2.39516427428714 -2.07944154167984 -0.250814552810898
"Betula humilis" 10.97283951 1.25 0.1885 2.39542308400177 0.22314355131421 -1.66865727209407
"Rosa glauca" 11.0864745 2 NA 2.40572585181356 0.693147180559945 NA
"Amelanchier lamarckii" 11.12 8.75 NA 2.40874528882244 2.16905370036952 NA
"Ligustrum vulgare" 11.15 3.7 35.438425 2.41143949790613 1.30833281965018 3.56779668344008
"Populus alba" 11.15298086 23.25 0.12 2.41170680388074 3.14630513203337 -2.12026353620009
"Helleborus viridis" 11.2 0.258333333 9.1538 2.41591377830105 -1.35350453958722 2.21416909362047
"Pyrus pyraster" 11.23595506 20 28.6 2.41911890959 2.99573227355399 3.35340671782581
"Crataegus monogyna" 11.25870378 4.885 167.573325 2.42114149885592 1.58616928549475 5.12142101666967
"Iris sambucina" 11.27 0.325 NA 2.42214432805168 -1.1239300966524 NA
"Salix myrsinifolia" 11.27315304 1.916666667 NA 2.42242406177083 0.650587566315062 NA
"Amelanchier ovalis" 11.27666667 2 198.45 2.4227356944201 0.693147180559945 5.29053717922907
"Carex lasiocarpa" 11.28866667 0.65 0.6 2.42379927287032 -0.430782916092454 -0.510825623765991
"Trifolium alpestre" 11.32 0.225 3.106666667 2.42657107277504 -1.49165487677772 1.13355034013669
"Salix aurita" 11.32409639 1.5 NA 2.42693287922332 0.405465108108164 NA
"Juncus acutiflorus" 11.35 0.525 0.020011111 2.42921774392741 -0.644357016390513 -3.91146760968892
"Rosa rubiginosa" 11.4 1.5 15.34673333 2.43361335540045 0.405465108108164 2.73090263900759
"Suaeda maritima" 11.43 0.16 0.798933333 2.43624147780672 -1.83258146374831 -0.224477774744569
"Aster linosyris" 11.44 0.275 1.39112 2.43711598595165 -1.29098418131557 0.330109178091676
"Triglochin maritimum" 11.48 0.24 0.580333333 2.44060639089142 -1.42711635564015 -0.54415262845644
"Epilobium dodonaei" 11.53 0.55 NA 2.44495233428097 -0.59783700075562 NA
"Pedicularis sylvatica" 11.55 0.123333333 0.895 2.4466854369678 -2.09286456471468 -0.110931560707282
"Myrica gale" 11.56247444 1.216666667 1.170271579 2.44776489224151 0.196114879200263 0.157235840677682
"Luzula spicata" 11.57 0.12 0.307272727 2.44841554120559 -2.12026353620009 -1.18001956419102
"Typha latifolia" 11.59371198 1.5 0.058107692 2.45046288044923 0.405465108108164 -2.84545723146053
"Arctostaphylos alpinus" 11.59913318 0.1625 2.404 2.45093036945813 -1.81707727721234 0.877134016672961
"Erysimum cheiri" 11.6 0.291666667 1.541341667 2.45100509811232 -1.23214368014978 0.432653249478007
"Salix triandra" 11.61413438 4.583333333 0.02 2.45222283740126 1.52242653537174 -3.91202300542815
"Scabiosa ochroleuca" 11.63 0.275 1.471666667 2.45358796653057 -1.29098418131557 0.386395545614314
"Carex riparia" 11.6320358 1.05 1.990933333 2.45376299850307 0.048790164169432 0.688603540342647
"Erucastrum nasturtiifolium" 11.66 0.3 0.431 2.45616418092235 -1.20397280432594 -0.841647188878389
"Spergula morisonii" 11.68 0.1 0.161 2.45787797740008 -2.30258509299405 -1.82635091399767
"Cirsium tuberosum" 11.7 0.5 2.9356 2.45958884180371 -0.693147180559945 1.07691186168877
"Calluna vulgaris" 11.733 0.826 0.029111111 2.46240538444149 -0.191160505461159 -3.53663535637405
"Hedera helix" 11.77272727 12.35 73.695175 2.46578560810956 2.51365606307399 4.29993732893819
"Allium oleraceum" 11.8 0.225 11.36966667 2.46809953147162 -1.49165487677772 2.43094899071001
"Salix alba" 11.89367003 15.16666667 0.12 2.4760063283403 2.71910003750858 -2.12026353620009
"Sedum rupestre" 11.90333333 0.178333333 0.056666667 2.47681847265821 -1.7241008226234 -2.87056912471763
"Rosa caesia" 11.9047619 1.583333333 15.261 2.47693847973882 0.459532329167914 2.72530055450874
