"rel.Fi" "size"
"Anonconotus_alpinus_F" 0.344639206743969 0.700853816257825
"Anonconotus_alpinus_M" 0.238720347655854 -0.627840189203397
"Arcyptera_fusca_F" 1.92147808932536 6.3460157084155
"Arcyptera_fusca_M" 0.950356477807843 2.97686415118173
"Bohemanella_frigida_F" 0.464721645749717 -1.23585160452981
"Bohemanella_frigida_M" 0.480717931955035 -0.655473015446677
"Calliptamus_italicus_F" 0.690510181977314 2.37441453344414
"Calliptamus_italicus_M" 0.359437581819825 -0.859822992470645
"Calliptamus_siciliae_F" 0.497214915219411 1.67732317094893
"Calliptamus_siciliae_M" 0.27065841921599 -2.45021023589981
"Chorthippus_apricarius_F" 0.788225651094873 -1.28485756794502
"Chorthippus_apricarius_M" 0.44503314068921 -2.72406673036027
"Chorthippus_biguttulus_F" 0.695193348995985 -0.589894442125477
"Chorthippus_biguttulus_M" 0.411977843692098 -2.66016201532036
"Chorthippus_parallelus_F" 0.893330379831448 -1.01944586738827
"Chorthippus_parallelus_M" 0.48586545147723 -2.46180312899902
"Chorthippus_scalaris_F" 0.822598359922056 0.0397260090972749
"Chorthippus_scalaris_M" 0.636190277310382 -1.38093593547996
"Decticus_verrucivorus_F" 0.735506138296791 5.75122897164025
"Decticus_verrucivorus_M" 0.540944203874092 5.38465959474789
"Euchorthippus_declivus_F" 0.710853847822476 0.456787891774666
"Euchorthippus_declivus_M" 0.372249478962237 -2.03027481359619
"Euthystira_brachyptera_F" 0.674496372392276 -0.235346318747955
"Euthystira_brachyptera_M" 0.499483643881832 -2.01999723431877
"Gomphocerus_sibiricus_F" 0.98973333110138 -1.17928324667841
"Gomphocerus_sibiricus_M" 0.592094894478822 -1.79048098479775
"Metrioptera_bicolor_F" 0.331620989641673 1.11916153860442
"Metrioptera_bicolor_M" 0.408871558971865 -0.00350038295679342
"Metrioptera_brachyptera_F" 0.226117089421916 0.178783850037618
"Metrioptera_brachyptera_M" 0.171625507057077 -0.161766349405041
"Miramella_alpina_F" 0.67070337218272 -0.806725541566894
"Miramella_alpina_M" 0.450499465622901 -2.52056934125455
"Myrmeleotettix_maculatus_F" 0.670578140491383 -2.40287099715886
"Myrmeleotettix_maculatus_M" 0.393793109690219 -3.43174401223024
"Omocestus_haemorrhoidalis_F" 0.783274014982678 -1.55912507076617
"Omocestus_haemorrhoidalis_M" 0.466791334250229 -3.15474512970757
"Omocestus_viridulus_F" 0.583734354411975 -1.25677977989002
"Omocestus_viridulus_M" 0.732607014593738 -2.81027157900969
"Platycleis_albopunctata_F" 0.347621267042904 2.04453971966909
"Platycleis_albopunctata_M" 0.44120341188154 0.372505436382262
"Podisma_pedestris_F" 0.431765491830539 1.04412427629591
"Podisma_pedestris_M" 0.361043847538036 -1.53425727650278
"Stenobothrus_lineatus_F" 1.31619193619446 0.445654946954108
"Stenobothrus_lineatus_M" 0.703364705605553 -2.0578133655359
"Stenobothrus_nigromaculatus_F" 1.07320581925512 -0.400788262623503
"Stenobothrus_nigromaculatus_M" 0.562543067082458 -1.90784209908504
"Stethophyma_grossum_F" 0.936740171279534 2.17979925094182
"Stethophyma_grossum_M" 0.365112015972894 0.773777819184744
"Tettigonia_cantans_F" 0.340690260671776 5.35066014926354
"Tettigonia_cantans_M" 0.312323771444773 3.06105227412671
"Tettigonia_viridissima_F" 0.456210448133538 5.66977345850822
"Tettigonia_viridissima_M" 0.455022070400798 4.10372077794601
